每股指标,每股盈余公积金,1.472755,1.472755,1.472755,1.472755,1.472755,1.472755,1.472755,1.471615,1.471615,1.471615,1.471615,1.471615,1.471615,1.471615,1.470816,1.469431,,,,,,,,
每股指标,每股留存收益,16.011229,15.187664,14.76452,14.747247,14.656841,13.887558,13.478721,13.380813,13.140771,12.305756,11.754993,11.582288,11.585778,10.910664,10.217549,10.054903,,,,,,,,
每股指标,每股营业收入,2.442228,8.378295,6.574864,4.36794,2.24814,8.847178,6.859337,4.767404,2.3434,8.758405,6.450239,4.037777,2.054186,8.876576,6.537672,4.247812,,,,,,,,
每股指标,每股营业总收入,2.442228,8.378295,6.574864,4.36794,2.24814,8.847178,6.859337,4.767404,2.3434,8.758405,6.450239,4.037777,2.054186,8.876576,6.537672,4.247812,,,,,,,,
每股指标,每股息税前利润,1.113234,3.571011,2.968275,1.988472,1.057943,4.076671,3.295185,2.220752,1.114202,3.687385,2.834899,1.849905,0.926277,4.059998,3.196398,2.090455,,,,,,,,
盈利能力,净资产收益率(ROE),4.77,15.64,13.01,8.9,4.78,19.36,16.43,11.27,5.79,19.55,15.45,10.16,5.25,26.0,20.15,13.7,6.89,15.36,,7.48,,5.66,14.06,13.13
盈利能力,摊薄净资产收益率,4.676132,15.207972,12.980659,8.841173,4.664695,18.451791,16.228943,11.086098,5.622074,18.578698,15.176052,10.016856,5.132003,23.728109,19.160393,13.101545,6.657376,14.622217,,7.296025,,5.754263,13.620506,12.544708
盈利能力,净资产收益率_平均,4.774089,15.749488,13.302511,9.065485,4.775195,19.508193,16.84097,11.506988,5.785433,19.599008,15.741614,10.336389,5.251847,26.287132,20.745711,13.964023,6.886748,15.376844,,7.485278,,5.659796,14.064325,12.544708
盈利能力,净资产收益率_平均_扣除非经常损益,4.761161,15.529788,13.164752,9.042017,4.835794,18.866246,16.72678,11.429919,5.749893,19.811864,15.429023,10.103435,5.145054,26.018139,20.462853,13.774241,6.82491,14.906923,,7.300368,,4.846468,13.180573,11.752281
盈利能力,摊薄净资产收益率_扣除非经常损益,4.663469,14.995826,12.846233,8.818286,4.723892,17.844606,16.118903,11.011849,5.587537,18.780472,14.874692,9.791104,5.027647,23.485302,18.899151,12.923485,6.597597,14.175358,,,,,,
盈利能力,息税前利润率,45.582749,42.622168,45.145806,45.524257,47.058603,46.078771,48.039408,46.581999,47.546381,42.101106,43.950302,45.814936,45.092159,45.738341,48.891995,49.212522,51.430174,39.386293,42.80291,42.148614,40.287481,24.754089,38.044487,34.148718
盈利能力,总资产报酬率,4.703033,15.753373,12.926966,8.689807,4.65811,18.794895,15.023587,10.152224,5.143593,18.132365,13.83716,9.127511,4.661965,22.513522,17.673222,11.67194,5.802528,12.857289,,6.290088,,5.200934,12.287037,11.329018
盈利能力,总资本回报率,5.948497,19.828444,16.636057,11.129926,5.864091,23.830308,19.629604,13.211863,6.568692,23.103769,18.034617,11.815874,5.914467,28.660791,23.046431,15.385387,7.385669,16.246208,,7.938047,,6.496824,15.1606,13.795737
盈利能力,投入资本回报率,4.462946,14.272671,12.254473,8.171037,4.316668,17.430103,14.901303,9.954361,4.98003,16.6321,13.312211,8.746089,4.416922,20.784754,16.84643,11.366777,5.549086,11.972217,,5.948628,,4.816019,10.956216,9.806977
盈利能力,息前税后总资产报酬率_平均,3.532075,11.405951,9.530524,6.435341,3.432443,13.900815,11.407163,7.716571,3.900276,13.372383,10.215304,6.884894,3.481131,16.55619,12.917571,8.732623,4.359498,9.749808,,4.713318,,3.85524,8.879567,8.05346
盈利能力,毛利率,51.173769,51.468786,52.238538,53.469037,54.646527,53.628961,54.451819,53.714336,53.426992,49.882503,49.596665,51.275095,49.210426,53.053312,54.463031,54.911912,58.380822,50.597494,49.427971,49.440456,47.176726,37.324014,44.517796,42.891812
盈利能力,销售净利率,33.756321,30.673497,32.659206,33.521347,34.25328,32.813324,35.790003,35.165586,35.638927,29.785722,31.829722,33.191019,32.861192,33.55446,34.954121,35.523214,37.734603,28.567191,30.387391,30.232495,28.261367,16.061812,26.17746,23.132629
盈利能力,成本费用利润率,89.195911,81.778169,87.495912,92.80658,96.716093,90.343873,97.236305,94.355241,96.493773,78.001244,81.081493,86.694823,83.006887,91.660784,98.966652,100.434987,112.71567,71.010604,73.285447,72.575046,66.745507,31.488576,59.992726,52.838437
盈利能力,营业利润率,45.098596,42.467229,44.612371,45.672132,46.724502,45.175098,47.358169,46.671517,47.185739,41.499583,43.404048,45.159946,44.362456,46.165596,48.153433,48.447036,50.555567,38.92715,41.030168,40.792762,38.871072,22.376028,36.631697,32.671743
盈利能力,总资产净利率_平均,3.479278,11.330957,9.343329,6.393139,3.387051,13.37964,11.190376,7.66275,3.854759,12.802764,10.019722,6.613851,3.397859,16.519002,12.636194,8.425658,4.257471,9.327218,,4.512136,,3.374803,8.454394,7.674372
盈利能力,总资产净利率_平均(含少数股东损益),3.482833,11.337083,9.351576,6.398656,3.390571,13.384102,11.192774,7.664096,3.855438,12.828299,10.021158,6.612502,3.397436,16.51632,12.635032,8.425189,4.257347,9.325494,,4.511774,,3.374652,8.454403,7.674372
成长能力,归母净利润,39144000000.0,122082000000.0,101971000000.0,69533000000.0,36563000000.0,137936000000.0,116659000000.0,79731000000.0,39719000000.0,123843000000.0,97645000000.0,63761000000.0,32113000000.0,141700000000.0,108768000000.0,71887000000.0,34301000000.0,70320000000.0,52837000000.0,33329000000.0,14806000000.0,24957000000.0,61045394300.0,52675361400.0
成长能力,营业总收入,116079000000.0,398220000000.0,312503000000.0,207608000000.0,106854000000.0,420506000000.0,326024000000.0,226770000000.0,111468000000.0,416609000000.0,306817000000.0,192064000000.0,97711000000.0,422230000000.0,311145000000.0,202355000000.0,90898000000.0,246111000000.0,173855000000.0,110233000000.0,52386000000.0,155373000000.0,233198556200.0,227710214800.0
成长能力,净利润,39184000000.0,122148000000.0,102061000000.0,69593000000.0,36601000000.0,137982000000.0,116684000000.0,79745000000.0,39726000000.0,124090000000.0,97659000000.0,63748000000.0,32109000000.0,141677000000.0,108758000000.0,71883000000.0,34300000000.0,70307000000.0,52830000000.0,33326000000.0,14805000000.0,24956000000.0,61045459000.0,52675361300.0
成长能力,扣非净利润,39038000000.0,120379000000.0,100915000000.0,69353000000.0,37027000000.0,133397000000.0,115868000000.0,79197000000.0,39475000000.0,125188000000.0,95706000000.0,62324000000.0,31460000000.0,140250000000.0,107285000000.0,70910000000.0,33993000000.0,68171000000.0,,32505596000.0,,21370427500.0,57209518600.0,49347952000.0
成长能力,营业总收入增长率,8.633275,-5.299805,-4.14724,-8.449971,-4.139304,0.935409,6.260083,18.070018,14.079274,-1.331264,-1.390991,-5.085616,7.495214,71.560799,78.968105,83.570255,73.515824,58.400108,,,,-33.373227,2.41023,
成长能力,归属母公司净利润增长率,7.059048,-11.493736,-12.590541,-12.790508,-7.945819,11.37973,19.472579,25.046658,23.685111,-12.601976,-10.226353,-11.303851,-6.378822,101.507394,105.855745,115.689039,131.669593,181.764635,,,,-59.117656,15.889844,
收益质量,经营活动净现金/销售收入,0.47509,0.52494,0.549591,0.525904,0.536002,0.525298,0.560596,0.522794,0.538073,0.503452,0.51837,0.51867,0.531854,0.486876,0.53638,0.505186,0.433628,0.600919,0.601892,0.582028,0.45871,0.529939,0.52967,0.546295
收益质量,经营性现金净流量/营业总收入,0.47509,0.52494,0.549591,0.525904,0.536002,0.525298,0.560596,0.522794,0.538073,0.503452,0.51837,0.51867,0.531854,0.486876,0.53638,0.505186,0.433628,0.600919,0.601892,0.582028,0.45871,0.529939,0.52967,0.546295
收益质量,成本费用率,50.569009,52.091306,50.883351,49.129127,48.219065,50.006658,48.699788,49.43511,48.844511,53.229286,53.444561,52.022242,53.348138,50.325651,48.612704,48.1698,44.824968,54.828512,55.974231,56.215068,58.109036,71.348755,61.220831,62.465976
收益质量,期间费用率,1.742778,3.560092,3.12189,2.598165,2.865592,3.635619,3.151608,3.149446,2.271503,3.11179,3.041226,3.297338,2.558565,3.378964,3.075736,3.081712,3.205791,5.426006,5.402202,5.655525,5.285763,8.672769,5.738627,5.357788
收益质量,销售成本率,48.82623,48.531213,47.761461,46.530962,45.353472,46.371038,45.54818,46.285663,46.573007,50.117496,50.403334,48.724904,50.789573,46.946687,45.536968,45.088087,41.619177,49.402505,50.572028,50.559543,52.823273,62.675985,55.482203,57.108187
收益质量,经营活动净现金/归属母公司的净利润,1.408849,1.712308,1.684292,1.570218,1.566446,1.601402,1.566685,1.486924,1.510058,1.69362,1.628808,1.562365,1.618285,1.450769,1.534385,1.422051,1.149121,2.103142,1.980468,1.925022,1.62299,3.299224,2.023386,2.36158
收益质量,所得税/利润总额,25.161388,27.995331,26.642899,26.480313,26.551212,27.36872,24.420118,24.609552,24.384719,28.260894,26.547328,26.406686,25.792137,27.259331,27.345968,26.573576,25.314636,26.626731,25.92229,25.897317,27.133576,28.508382,28.726237,29.913961
财务风险,流动比率,3.166295,3.236967,2.316747,2.361354,2.392047,2.225943,1.710702,1.788833,2.188555,2.01934,1.677769,1.774842,2.472193,2.334215,1.95958,1.89324,2.387557,2.213728,,2.155115,,2.277057,2.313992,2.672541
财务风险,速动比率,3.115098,3.17023,2.273522,2.315506,2.345677,2.177724,1.676194,1.752752,2.141056,1.96729,1.640375,1.735016,2.414551,2.279193,1.917831,1.855566,2.331207,2.153026,,2.0864,,2.198401,2.243048,2.590706
财务风险,保守速动比率,2.967998,2.992975,2.166834,2.211802,2.240123,1.96042,1.589999,1.668586,2.041488,1.865853,1.556318,1.653901,2.316098,2.170736,1.84012,1.784219,2.191593,2.014007,,1.957781,,2.041315,2.136606,2.463357
财务风险,资产负债率,27.092482,26.705438,30.085559,29.543762,28.740389,29.049561,33.2397,32.964448,32.894892,33.584195,36.802529,36.168291,34.77281,35.590631,39.15988,40.225632,37.394984,38.724256,,39.469919,,39.838507,40.846155,38.822358
财务风险,权益乘数,1.372149,1.389952,1.423744,1.418002,1.409838,1.45805,1.504951,1.501678,1.500854,1.530841,1.571062,1.562839,1.545634,1.591326,1.641768,1.657321,1.617567,1.648599,,1.658921,,1.677074,1.663552,1.634623
财务风险,权益乘数(含少数股权的净资产),1.3716,1.364357,1.430319,1.41932,1.403319,1.409434,1.497896,1.491745,1.490199,1.505665,1.582341,1.566619,1.533103,1.552569,1.643652,1.672957,1.597316,1.631967,,1.652071,,1.662192,1.690507,1.634584
财务风险,产权比率,37.26989,36.546247,43.141907,42.03375,40.432801,41.046862,49.912288,49.291154,49.130693,50.66443,58.344148,56.767791,53.412279,55.368045,64.496865,67.4334,59.860296,63.336535,,65.323231,,66.253043,69.056768,63.459927
财务风险,现金比率,2.466036,2.637644,1.89467,1.886034,1.839146,1.682195,1.391186,1.418329,1.718447,1.57262,1.269397,1.41808,1.991905,1.8487,1.596411,1.520466,1.767208,1.726112,,1.678646,,1.77677,1.858003,2.156069
营运能力,应收账款周转率,2.651567,12.19047,8.679312,5.368709,2.570985,12.151772,9.399703,5.826118,2.824906,11.439488,7.324611,5.301242,2.608896,13.406254,9.928047,5.805123,2.689648,10.976073,,5.0718,,7.208282,10.015326,10.416687
营运能力,应收账款周转天数,33.942185,29.531264,31.108453,33.527609,35.006036,29.625308,28.724311,30.895356,31.859457,31.469939,36.862021,33.954306,34.497344,26.853136,27.19568,31.007091,33.461627,32.798615,,35.490353,,49.942545,35.944908,34.559931
营运能力,存货周转率,9.742501,32.695144,25.003099,16.135293,8.396777,32.01067,24.320013,16.868139,8.163862,32.906855,24.96102,15.211801,7.603339,33.197621,23.4037,15.230448,6.735689,21.430334,,9.384267,,16.287694,21.26821,22.217097
营运能力,存货周转天数,9.237874,11.010809,10.798661,11.155669,10.718397,11.246249,11.101967,10.671004,11.024193,10.939969,10.816865,11.832918,11.836903,10.84415,11.536637,11.81843,13.361661,16.798618,,19.181039,,22.102575,16.92667,16.203736
营运能力,总资产周转率,0.103175,0.369605,0.286338,0.190883,0.098985,0.407886,0.312734,0.217943,0.10818,0.430686,0.314836,0.199225,0.103387,0.492224,0.361474,0.237174,0.112823,0.32644,,0.149235,,0.210104,0.322964,0.331755
营运能力,总资产周转天数,872.29809,974.012354,942.941107,942.985915,909.225812,882.599106,863.351716,825.90369,831.942485,835.875413,857.587943,903.498052,870.511508,731.373895,746.940124,758.93588,797.70666,1102.803613,,1206.143753,,1713.436651,1114.671896,1085.137096
营运能力,流动资产周转率,0.363704,1.422234,1.046408,0.708441,0.378661,1.6334,1.216802,0.828466,0.413585,1.618043,1.134879,0.718039,0.35087,1.786608,1.223503,0.773135,0.411038,1.325411,,0.614269,,0.841391,1.174556,1.191259
营运能力,流动资产周转天数,247.453673,253.122796,258.025506,254.078937,237.679544,220.399043,221.89302,217.268818,217.609403,222.49092,237.910676,250.682689,256.505204,201.499135,220.677674,232.818264,218.957787,271.613784,,293.030989,,427.8629,306.498581,302.201071
营运能力,应付账款周转率,0.879122,3.245482,2.276671,1.490259,0.772115,3.209363,2.271261,1.600627,0.823693,3.449769,2.27738,1.515039,0.822123,3.654363,2.572967,1.719376,0.783741,2.697415,,1.324045,,2.377698,3.545341,4.105365
