每股指标,摊薄每股收益_最新股数,0.041543,0.257283,0.183276,0.142147,0.062674,0.161978,0.138228,0.095238,0.025349,0.066204,0.045492,0.062547,0.047784,0.008167,0.005366,0.069193,-0.152307,0.334174,0.223695,0.158327,0.0496,0.299594,0.19597,0.165405,0.102673,0.177566,0.112305,0.061926,0.043548,0.081933,0.05018,0.017596,0.076976,0.070562,0.221026,0.100725,,,0.046261,,,,0.02017,,,0.029597,0.028197,0.103162,0.075757,0.066957,0.039433,0.036353,0.047088,0.039263,0.005806,0.252865,0.190504,0.12626,0.137492,0.027627,0.0172,0.013057,0.013412,0.008905,0.013014,0.01155,-0.009575,
每股指标,摊薄每股净资产_期末股数,5.421668,5.349266,5.234331,5.342163,5.25038,5.177234,5.036354,5.026348,4.958948,4.896792,4.85575,4.894445,4.907008,4.849203,4.849818,4.907359,4.783236,4.938728,4.827496,4.020539,4.034166,3.969566,3.835116,3.795935,3.815388,3.681931,3.597366,3.532013,,3.45815,3.412969,,3.341602,3.411926,3.495298,2.983246,,,2.784436,,,,2.686999,,,2.609936,2.718852,2.633229,2.641752,2.799831,2.371377,2.151511,,2.218347,,2.771545,,1.877706,1.508179,1.134426,1.07044,1.056348,1.03971,1.033625,1.011327,1.00578,0.967053,0.999629
每股指标,调整每股净资产_期末股数,5.340821,5.272913,5.168957,5.276741,5.177934,5.095405,4.962414,4.943061,4.873457,4.803505,4.762553,4.81076,4.81849,4.756236,4.770167,4.863689,4.672126,4.885502,4.776074,3.947154,3.973736,3.909331,3.78915,3.75208,3.772483,3.640045,3.564327,3.500538,,3.421282,3.383247,,3.314297,3.389197,3.474727,2.947965,,,2.737651,,,,2.637796,,,2.559628,2.691386,2.594751,2.613389,2.771013,2.344303,2.093744,,2.182996,,2.744477,,1.852446,1.481331,1.106131,1.039735,1.023868,1.005722,0.99455,0.974571,0.967583,0.925904,0.96456
每股指标,每股净资产_最新股数,5.421668,5.349266,5.234331,5.342163,5.25038,5.177234,5.036354,5.026348,4.958948,4.896792,4.85575,4.894445,4.907008,4.849203,4.849818,4.907359,4.783236,4.938728,4.827496,3.097076,3.107573,3.05781,2.954242,2.92406,2.939044,2.836241,2.771099,2.720757,,2.39699,2.365673,,2.316206,2.36495,2.422739,1.301411,1.223839,1.204855,1.214682,1.222718,0.821952,0.814427,0.789849,0.794533,0.781302,0.767196,0.799212,0.774043,0.776549,0.823016,0.697071,0.632441,0.633212,0.652088,0.668641,0.814702,0.69403,0.551956,0.443332,0.333467,0.314658,0.310515,0.305625,0.303836,0.297282,0.295651,0.284267,0.293843
每股指标,每股经营现金流,0.289757,-0.220105,0.170777,0.140623,0.069982,0.324925,0.160955,0.158818,0.071139,-0.845597,-0.966209,-0.941119,-0.920992,0.391556,0.752458,-0.457578,-0.61527,-0.126046,0.30524,1.649924,0.531138,1.364713,0.774892,0.339398,-0.062673,-1.943791,-1.091822,-0.6551,,-2.388793,-2.455549,,-0.454132,0.382894,-0.455529,0.432319,,,-0.404459,,,,-0.957437,,,-1.385119,,-0.49763,,1.31408,,0.69945,,,,0.990004,,,0.94708,0.133319,,,,,,,-0.487785,
每股指标,每股现金流量净额,0.210244,0.246538,0.218223,0.0974,0.028792,0.481502,0.265771,0.173024,-0.054028,-0.951453,-0.907319,-0.952248,-1.039765,0.550844,0.977275,-0.130454,-0.316943,0.279527,0.715969,0.925018,0.566464,-0.21127,-0.295335,-0.296445,-0.40492,0.935876,0.443678,0.666156,,-0.388002,-0.439284,,-0.61681,-0.070661,1.097845,0.341553,,,0.378575,,,,-0.876247,,,-1.467988,,-0.64929,,1.295052,,0.290547,,,,0.976402,,,1.152672,0.190296,,,,,,,-0.525248,
每股指标,每股企业自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股股东自由现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每股指标,每股未分配利润,0.680343,0.638913,0.637826,0.642795,0.663985,0.601382,0.634586,0.638785,0.629027,0.603942,0.627853,0.645135,0.680661,0.633074,0.641321,0.705349,0.58432,0.737925,0.716736,0.845985,0.860387,0.796726,0.75407,0.719996,0.739308,0.606849,0.587801,0.523312,,0.492325,0.49202,,0.420579,0.521386,0.636432,0.783554,,,0.693753,,,,1.004668,,,0.957773,1.084497,0.986692,1.101765,0.940541,0.915975,0.782281,,0.846316,,1.013498,,0.757603,0.388075,0.107871,0.043884,0.04442,0.027782,0.030793,0.008495,0.00578,-0.032946,-0.00037
每股指标,每股资本公积金,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,2.608267,1.522624,1.522624,1.522624,1.522624,1.522624,1.522624,1.522624,1.522624,1.522624,,1.429726,1.429726,,1.429719,1.429434,1.429434,0.651945,,,0.611118,,,,0.014072,,,0.005627,0.017425,0.029606,0.027853,0.347157,0.012791,-0.07338,,-0.033388,,0.352627,,,,,,,,,,,,
每股指标,每股盈余公积金,0.262631,0.262631,0.238529,0.238529,0.238529,0.238529,0.219719,0.219719,0.219719,0.219719,0.205007,0.205007,0.205007,0.205007,0.201454,0.201454,0.201454,0.201454,0.172003,0.22329,0.22329,0.22329,0.19218,0.19218,0.19218,0.19218,0.170555,0.170555,,0.189263,0.174379,,0.174379,0.164434,0.153824,0.201909,,,0.180027,,,,0.25269,,,0.245449,0.235581,0.235581,0.200648,0.200648,0.177474,0.177474,,0.165077,,0.165077,,0.062707,0.062707,0.015933,0.015933,0.007156,0.007156,0.001699,0.001699,,,
每股指标,每股留存收益,0.942975,0.901545,0.876355,0.881324,0.902514,0.839912,0.854305,0.858504,0.848746,0.823661,0.83286,0.850143,0.885668,0.838081,0.842776,0.906803,0.785775,0.939379,0.88874,1.069275,1.083677,1.020016,0.94625,0.912176,0.931488,0.799029,0.758357,0.693868,,0.681588,0.6664,,0.594958,0.685821,0.790256,0.985464,,,0.873781,,,,1.257359,,,1.203222,1.320078,1.222273,1.302414,1.141189,1.09345,0.959756,,1.011394,,1.178575,,0.82031,0.450783,0.123804,0.059818,0.051577,0.034939,0.032492,0.010195,0.00578,-0.032946,-0.00037
