选项,指标,20260331,20251231,20250930,20250630,20250331,20241231,20240930,20240630,20240331,20231231,20230930,20230630,20230331,20221231,20220930,20220630,20220331,20211231,20210930,20210630,20210331,20201231,20200930,20200630,20191231,20181231,20171231
盈利能力,摊薄净资产收益率,-2.621204,1.984563,0.95402,-1.406479,-1.910095,1.705791,0.725828,-1.50584,-2.69891,5.055396,3.406184,1.987538,0.599493,9.676715,6.872477,4.362155,1.002552,18.603859,14.963892,10.037642,,30.566059,23.473351,,21.461692,11.700724,-0.681941
盈利能力,净资产收益率_平均,-2.948397,1.966701,0.944488,-1.376889,-1.889572,1.706885,0.722451,-1.483244,-2.662675,5.17861,3.453744,2.000818,0.60123,12.860334,9.047939,5.757928,1.307352,20.547286,16.0809,10.563473,,33.855439,24.887431,,23.98177,12.459862,-0.681941
盈利能力,净资产收益率_平均_扣除非经常损益,-3.032899,0.400054,-0.567935,-2.57336,-2.064763,0.685729,-0.03538,-2.022495,-2.72827,4.478857,2.535175,1.413375,0.358908,11.071041,7.992857,5.209522,1.077092,18.885974,14.881283,9.753833,,29.758849,22.187358,,22.150048,11.3922,-5.952893
盈利能力,摊薄净资产收益率_扣除非经常损益,-2.696329,0.403688,-0.573667,-2.628663,-2.087189,0.68529,-0.035545,-2.053306,-2.765397,4.372292,2.500264,1.403994,0.357872,8.330367,6.071076,3.946688,0.825975,17.09968,,9.268304,,26.867492,,,19.822452,10.698111,
盈利能力,息税前利润率,-4.347564,0.647222,0.562129,-0.846101,-2.758532,0.977029,0.605046,-1.104402,-4.662793,3.268382,3.11941,2.70841,1.788863,5.967235,5.802296,5.675666,3.217179,7.006988,,7.476738,3.359434,11.849879,11.982687,,9.059485,6.473316,2.375959
盈利能力,总资产报酬率,-1.174089,0.897751,0.569528,-0.543842,-0.844975,1.577209,0.694759,-0.730067,-1.382355,3.74576,2.710715,1.576527,0.508404,8.910888,6.353145,4.064568,1.107822,11.907213,,6.22332,,17.999068,13.193175,,12.34697,7.42365,2.482663
盈利能力,总资本回报率,-1.766042,1.304752,0.807992,-0.775197,-1.126981,2.012672,0.888635,-0.912745,-1.731046,4.43595,3.218776,1.872648,0.600048,10.849201,7.819885,4.904222,1.339644,15.297422,,7.976315,,23.378288,17.080656,,16.215092,9.810777,3.252116
盈利能力,投入资本回报率,-1.449807,2.456785,1.473319,-0.234137,-0.845457,2.49338,1.454577,-0.411158,-1.610167,4.729706,3.320943,1.98737,0.681193,10.514996,7.429381,4.711582,1.275112,14.331924,12.200383,7.419904,,21.607849,15.572559,,15.134805,9.233187,2.365173
盈利能力,息前税后总资产报酬率_平均,-1.032857,1.576748,0.785357,-0.332883,-0.737961,1.726778,0.961489,-0.462566,-1.367209,3.686199,2.563167,1.50582,0.490982,8.454932,5.948468,3.876902,1.03972,11.082618,7.506304,5.738267,,16.593204,11.990064,,11.489255,6.796346,1.754735
盈利能力,毛利率,7.783908,11.201879,11.393604,10.624903,10.320304,12.455814,12.282084,12.561345,10.696795,19.26084,19.200507,18.760806,18.255138,21.260413,21.470466,20.880954,19.495365,24.669104,,24.610057,21.033791,27.224867,27.94395,,26.875906,24.339959,23.081109
