每股指标,每股资本公积金,12.001727,11.816165,11.671194,11.53564,11.824401,11.763218,11.672054,11.490916,11.336772,11.214069,11.088727,10.952977,10.808966,10.714246,10.634258,10.529402,10.390759,10.298313,10.250714,10.108571,10.058904,10.06922,9.958498,9.961509,9.957197,9.952825,0.629058,0.620552,0.607289,0.600667,,,0.567139,0.474496,24.63194,7.55415
每股指标,每股盈余公积金,0.499791,0.5,0.499294,0.499294,0.499839,0.5,0.434044,0.434483,0.434709,0.434798,0.33131,0.331458,0.331638,0.331669,0.23206,0.232172,0.232172,0.232172,0.155808,0.155808,0.155808,0.155808,0.12946,0.12946,0.12946,0.12946,0.094458,0.094458,0.094458,0.094458,,,0.015698,0.013202,0.19031,
每股指标,每股留存收益,19.749726,15.018609,13.590965,12.659936,12.828507,11.961735,10.65326,9.974866,10.092383,9.29955,8.380296,7.747086,7.761472,7.176672,6.516689,5.883333,5.999974,5.455978,5.036483,4.387592,4.464009,3.8019,3.188343,2.672314,2.436332,2.197038,2.268519,2.108753,1.833435,1.685412,,,1.32245,0.782624,11.56507,26.11282
每股指标,每股营业收入,3.481486,12.800107,9.021096,5.736702,2.812929,11.07147,7.841333,5.222275,2.653208,9.867312,7.082995,4.706553,2.279472,8.423196,6.06075,3.886172,1.883178,7.115094,5.146053,3.394978,1.677555,4.904486,3.260676,1.986483,0.807516,3.426291,2.894664,1.903505,0.789996,3.138003,,,2.092402,1.507007,39.37192,28.29685
每股指标,每股营业总收入,3.481486,12.800107,9.021096,5.736702,2.812929,11.07147,7.841333,5.222275,2.653208,9.867312,7.082995,4.706553,2.279472,8.423196,6.06075,3.886172,1.883178,7.115094,5.146053,3.394978,1.677555,4.904486,3.260676,1.986483,0.807516,3.426291,2.894664,1.903505,0.789996,3.138003,,,2.092402,1.507007,39.37192,28.29685
每股指标,每股息税前利润,5.193285,4.22145,2.687058,1.686656,0.907689,3.80322,2.393819,1.673289,0.848126,3.0302,2.047283,1.374881,0.616463,2.620366,1.927789,1.216822,0.603646,2.43954,1.951016,1.282686,0.784229,2.03008,1.309173,0.795522,0.239567,0.881501,0.560733,0.411215,0.134855,0.893106,,,0.600378,0.362102,-12.30305,0.50049
盈利能力,净资产收益率(ROE),15.7,15.2,9.97,6.35,3.48,15.51,10.06,7.03,3.62,14.18,9.82,6.65,3.01,13.64,10.1,6.48,3.19,14.34,11.78,7.69,4.39,13.64,9.44,5.74,1.8,22.6,15.71,11.57,3.92,26.84,18.26,16.07,23.17,19.77,-48.9,4.0
盈利能力,摊薄净资产收益率,14.508952,14.287752,9.71574,6.421292,3.416963,14.487007,9.714506,6.962991,3.550467,13.245188,9.434981,6.578286,2.958189,12.809385,9.697215,6.471843,3.130245,13.488591,11.295674,7.683886,4.295725,12.810405,9.121952,5.678725,1.784199,6.600871,14.491733,10.905054,3.852654,26.173899,,,20.627822,15.92594,-39.056402,3.94095
盈利能力,净资产收益率_平均,15.689174,15.171782,10.035782,6.499715,3.480877,15.443607,10.069902,7.104321,3.618437,14.113747,9.820515,6.720751,3.010022,13.592092,10.09805,6.599561,3.18836,14.288785,11.808151,7.841387,4.388,13.589851,9.453196,5.782139,1.800841,11.042064,15.739262,11.594091,3.937231,27.912521,,,23.110496,21.867716,-40.497446,3.94095
盈利能力,净资产收益率_平均_扣除非经常损益,15.51677,14.89132,9.783146,6.326747,3.368799,14.610523,9.594882,6.771591,3.471314,13.519853,9.459316,6.461107,2.82088,11.418918,8.229146,5.230463,2.560604,11.532862,9.783516,6.555772,3.675677,9.471573,6.26155,4.299062,1.044936,8.670052,12.347082,9.365619,2.647238,24.23645,,,20.722713,19.047395,31.571409,0.499028
盈利能力,摊薄净资产收益率_扣除非经常损益,14.349518,14.023632,9.47116,6.250411,3.306943,13.705525,9.256251,6.63688,3.406108,12.687842,9.087962,6.324146,2.772304,10.761354,7.902495,5.12924,2.513931,10.887004,9.358908,6.424094,3.598381,8.928331,6.042143,4.222173,1.035279,5.182899,,8.809021,2.590376,22.726807,,,18.496552,13.871942,,
盈利能力,息税前利润率,149.168655,32.979802,29.786388,29.401158,32.268468,34.35154,30.528219,32.041379,31.96607,30.70948,28.904203,29.212065,27.044124,31.108936,31.807763,31.311587,32.054675,34.286834,37.912866,37.781862,46.748331,41.392304,40.150362,40.046794,29.667243,25.727568,19.37127,21.603051,17.070342,28.46098,28.428033,37.394493,28.693264,24.027904,-31.248285,1.768712
