每股指标,摊薄每股收益_最新股数,0.070639,0.561428,0.464595,0.261909,0.08013,0.578233,0.49969,0.29286,0.135369,0.486233,0.444671,0.207222,0.075362,-0.136372,0.03409,0.029699,0.046753,-0.064222,0.168602,0.184631,0.078521,0.453425,0.388378,0.22546,0.041681,0.319694,0.270485,0.186955,0.079548,0.300486,0.279972,0.175118,0.04272,0.322611,0.281343,0.177696,0.069717,0.467514,0.435649,0.310519,0.10984,0.519694,0.419634,0.291481,0.094607,0.444248,0.316699,0.224204,0.089888,0.428829,0.36212,0.218983,0.074653,0.260833,0.163952,0.18567
每股指标,摊薄每股净资产_期末股数,5.75482,5.706161,5.598347,5.499362,5.576626,5.467723,5.372891,5.120659,5.18898,5.026929,5.021091,4.766102,4.682335,4.565192,4.723635,4.696164,4.732015,4.695858,4.932752,4.972725,5.130231,4.984246,4.85297,4.67729,4.701289,4.714036,4.637304,4.564445,4.655384,4.49603,4.538308,4.383654,4.495376,4.46583,4.376642,4.264338,4.367199,4.282545,4.257469,4.094786,4.1653,4.087732,3.967177,3.90134,3.781953,3.671305,3.253035,3.137644,4.086351,3.969237,,3.364913,,3.459806,3.08825,7.742318
每股指标,调整每股净资产_期末股数,5.409734,5.357431,5.198255,5.112781,5.193668,5.084861,4.940198,4.67647,4.733399,4.567134,4.552419,4.270291,4.184077,4.226786,4.40136,4.382464,4.404127,4.385602,4.66744,4.750889,4.937429,4.789694,4.677072,4.504929,4.51161,4.53496,4.460604,4.382712,4.472921,4.30821,4.348616,4.190373,4.303085,4.271111,4.190624,4.076161,4.17718,4.08818,4.085618,3.927563,4.001863,3.918719,3.809079,3.750924,3.609479,3.494247,3.090342,2.967863,3.851937,3.735218,,3.130353,,3.222567,2.929625,7.446063
每股指标,每股净资产_最新股数,5.75482,5.706161,5.598347,5.499362,5.576626,5.467723,5.372891,5.120659,5.18898,5.026929,5.021091,4.766102,4.682335,4.565192,4.723635,4.763393,4.799758,4.763083,5.003368,5.043913,5.203675,5.055599,4.922444,4.744249,4.768592,4.781522,4.703691,4.629789,4.72203,4.560395,4.603278,4.44641,4.559731,4.529762,4.439297,4.325385,4.429719,4.343854,4.318418,4.153406,4.22493,4.146251,4.02397,3.957191,3.338661,3.240983,2.871739,2.769873,2.774907,2.695379,,2.015961,,2.072813,1.773435,1.905448
每股指标,每股经营现金流,0.32293,0.85419,0.817317,0.41237,0.266303,1.022233,0.73494,0.397543,0.133925,0.855956,0.389493,0.098255,-0.095572,0.01671,0.215415,0.077181,0.016957,0.062177,0.231091,0.202744,0.030743,0.744687,0.467786,0.238226,0.111785,0.663783,0.596733,0.354423,0.111045,0.498078,0.506614,0.247657,0.121864,0.734256,0.536085,0.382445,0.165652,0.981622,0.838163,0.616928,0.306162,0.930524,0.831378,0.603771,0.371305,0.88057,0.811754,0.379752,0.265995,1.456511,,0.779123,,1.128792,0.697889,2.35209
每股指标,每股现金流量净额,0.04733,-0.133479,0.286855,0.322333,0.00281,-0.206495,-0.008412,0.137143,-0.00873,0.43056,0.42967,0.141544,-0.022581,0.169905,0.308843,0.12671,0.08888,-0.568038,-0.321863,-0.187806,-0.208926,0.155625,-0.018234,0.020602,-0.01265,0.34276,0.184375,0.036006,0.054568,-0.074993,0.060325,-0.008745,-0.079999,-0.225651,-0.087067,-0.182763,0.041935,0.243354,0.336536,0.137879,0.178432,-0.153694,-0.041058,0.107217,0.162201,0.368506,0.090474,-0.195838,0.005461,0.286483,,0.163085,,0.148781,-0.117358,0.442869
每股指标,每股企业自由现金流量,,0.827827,,0.651296,,1.128956,,0.650715,,-0.005392,,-0.19705,,-0.061797,,0.052623,,0.688721,,0.40211,,0.706418,,0.430953,,0.36429,,0.213344,,0.569512,,0.334327,,0.645976,,0.333449,,0.260592,,0.298476,,0.762553,,0.507112,,-0.598977,,-0.044518,,0.727738,,,,0.176105,0.605928,1.642051
每股指标,每股股东自由现金流量,,0.755881,,0.628604,,0.942019,,0.619498,,0.313699,,0.155834,,0.655769,,0.33247,,0.910366,,0.210447,,0.542657,,0.328343,,0.302325,,0.145172,,0.476003,,0.268249,,0.733579,,0.346125,,0.201356,,0.24147,,0.464395,,0.388638,,-0.187895,,-0.067288,,1.411468,,,,0.352247,1.065474,2.074476
每股指标,每股未分配利润,2.18543,2.114791,2.063719,1.910416,2.018638,1.938507,1.894435,1.687605,1.780114,1.644745,1.64412,1.406671,1.279603,1.199449,1.402693,1.378566,1.39579,1.343572,1.56982,1.585622,1.70601,1.624671,1.601857,1.441239,1.460054,1.41546,1.398635,1.316284,1.446609,1.365117,1.382798,1.279424,1.319501,1.274752,1.252024,1.149841,1.273385,1.202593,1.219223,1.095859,1.168012,1.058211,1.00552,0.879175,1.074399,0.966106,0.873081,0.768306,1.001002,0.868698,,0.667801,,0.737654,0.494399,1.648097
每股指标,每股资本公积金,1.80344,1.803236,1.806504,1.805655,1.799307,1.799307,1.791139,1.791139,1.783199,1.783199,1.792829,1.792829,1.825014,1.786482,1.78987,1.804148,1.791277,1.791277,1.790426,1.788996,1.799267,1.78737,1.773787,1.774885,1.77246,1.773167,1.772683,1.772683,1.772125,1.772172,1.772125,1.772125,1.771403,1.771403,1.752173,1.752173,1.752173,1.752173,1.753762,1.723393,1.721957,1.721957,1.724361,1.724361,1.401091,1.401091,1.268202,1.304216,2.000689,2.015879,,1.6337,,1.658741,1.579742,5.013947
