报告日,营业收入,手续费净收入,代理买卖证券业务净收入,证券承销业务净收入,委托管理资产业务净收入,投资咨询服务净收入,期货经纪业务净收入,基金管理业务净收入,利息净收入,利息收入,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,净敞口套期收益,公允价值变动收益,汇兑净收益,其他业务收入,资产处置收益,其他收益,营业支出,营业税金及附加,业务及管理费用,资产减值损失,信用减值损失,其他资产减值损失,研发费用,其他业务成本,营业利润,加:营业外收入,非流动资产处置利得,减:营业外支出,非流动资产处置损失,利润总额,减:所得税费用,净利润,持续经营净利润,终止经营净利润,归属于母公司的净利润,少数股东权益,年初未分配利润,其他因素调整,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划净负债或净资产的变动,权益法下在被投资单位不能重分类进损益的其他综合收益中享有的份额,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下在被投资单位以后将重分类进损益的其他综合收益中享有的份额,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20201231,3162361349.94,2134742189.53,873439743.84,556577638.82,134862283.17,,,,547386305.29,1323013366.77,775627061.48,618895998.51,40583628.46,3544430.61,,-149537823.5,-18605246.07,20056796.12,-766086.47,10189216.53,2205270414.67,21595070.1,2035609068.21,,147980149.55,,,86126.81,957090935.27,4152151.34,,7112949.48,,954130137.13,98297968.69,855832168.44,855832168.44,,819688097.83,36144070.61,3762118602.01,,-71934398.8,-61631796.35,,,,,,-61631796.35,,,-41142342.3,,930282.87,,,,-21419736.92,,-10302602.45,783897769.64,758056301.48,25841468.16,0.29,0.29,招股说明书/意向书,是,20221216,CNY,合并期末,2021-04-23T21:38:02
20200930,2458644376.89,1346702118.73,651132639.48,428359434.38,71249996.03,,,,385134394.66,,,626897867.7,,,,-102658958.54,-23696514.3,219814238.61,-1363306.83,7814536.85,1767598144.92,15422873.01,1656866124.01,,92427730.94,,,2881416.96,691046231.96,7525421.87,,5169818.12,,693401835.71,71113394.09,622288441.63,,,604479682.07,17808759.56,,,-77880191.42,,,,,,,,,,,,,,,,,,,544408250.21,532895711.43,11512538.78,,,募集说明书,未审计,20210318,CNY,合并期末,2021-03-18T18:13:02
20200630,1571730961.51,945463490.17,390712406.1,275916339.1,45386068.49,,,,211532245.86,610424332.56,398892086.7,368734610.84,6355835.69,3544430.61,,60284862.59,-24019205.87,6718212.06,-1420918.35,4437664.21,1135442249.65,8276635.38,1070929289.11,,56176126.92,,,60198.24,436288711.86,7594161.76,,5164297.33,,438718576.29,37430571.99,401288004.3,401288004.3,,383585925.2,17702079.1,,,-6584625.32,-14700681.36,,,,,,-14700681.36,,,-23191133.39,,1077175.41,,,,7413276.62,,8116056.04,394703378.98,368885243.84,25818135.14,0.14,0.14,招股说明书(申报稿),是,20201231,CNY,合并期末,2020-08-28T17:18:02
20191231,2222965979.52,1280682973.58,668218452.65,274656532.17,78647082.36,,,,443952432.77,1288563615.26,844611182.49,379483499.25,34459581.27,43393.57,,78837236.23,-1217586.98,23054853.26,-1698399.91,19870971.32,1901918401.22,13350724.43,1572582579.36,,315866315.21,,,118782.22,321047578.3,927168.85,,91497252.08,,230477495.07,44250754.06,186226741.01,186226741.01,,210067991.93,-23841250.92,3601656268.65,,25513568.28,17244121.3,,,,,,17244121.3,,,13373853.85,,-1660267.7,,,,5530535.15,,8269446.98,211740309.29,227312113.23,-15571803.94,0.08,0.08,招股说明书/意向书,是,20221216,CNY,合并期末,2020-04-16T21:13:02
20190930,1658695742.33,916731663.88,509253252.43,175116108.95,210319090.29,,,,348311135.52,,,280766354.99,,,,97920409.77,-1763528.34,13181249.11,1504.14,3546953.26,1464705200.14,8543581.01,1153016325.5,,303145293.63,,,,193990542.19,794717.51,,2729092.98,,192056166.72,26876571.71,165179595.01,,,154342149.9,10837445.11,,,9342269.32,,,,,,,,,,,,,,,,,,,204241021.92,193403576.81,10837445.11,,,募集说明书,未审计,20200324,CNY,合并期末,2020-03-24T17:53:02
20190630,1163910331.01,614360952.89,376928467.67,101979991.94,45492377.89,,,,230177308.13,637436617.27,407259309.14,231896916.68,15093959.34,,,77347110.73,364668.89,7501368.96,,2262004.73,917723097.29,5954849.64,736812391.35,,174899827.44,,,56028.86,246187233.72,1126309.52,,1909614.8,,245403928.44,47296357.55,198107570.89,198107570.89,,188192359.85,9915211.04,,,13231620.17,8689423.47,,,,,,8689423.47,,,8689423.47,,,,,,,,4542196.7,211339191.06,196881783.32,14457407.74,,,其他,未审计,20190829,CNY,合并期末,2020-03-13T15:58:11
20190331,689009310.43,237807462.91,181194920.07,36177680.14,13414396.25,,,,86969998.89,,,187530359.55,,,,148678944.38,-1284506.44,28750177.88,,556873.26,357800687.67,2924438.3,354224901.73,,,,,651347.64,331208622.76,179097.69,,174002.27,,331213718.18,73225980.31,257987737.87,,,258354406.13,-366668.26,,,2923744.21,,,,,,,,,,,,,,,,,,,260911482.08,261278150.34,-366668.26,,,其他,未审计,20190710,CNY,合并期末,2020-03-13T15:58:11
20181231,1658818758.06,1358044155.41,592801026.02,397130940.9,59635920.52,,,,244724049.73,1404851158.59,1160127108.86,185353648.55,23621091.61,15619.98,,-152410210.02,-3657904.78,10970683.31,8888.04,15785447.82,1600280793.94,12232110.41,1435228044.43,,152820639.1,,,,58537964.12,3783634.21,,3396594.78,,58925003.55,-31168649.71,90093653.26,90093653.26,,69957389.3,20136263.96,,,16407421.57,15414691.05,,,,,,15414691.05,,,-1408072.72,,287574.54,,,,16535189.23,,992730.52,106501074.83,85372080.35,21128994.48,0.03,0.03,招股说明书(申报稿),是,20210423,CNY,合并期末,2020-03-13T15:58:11
20180930,1063974958.78,811450778.63,426962089.18,277518454.83,87284321.37,,,,-11839598.66,,,218508328.0,376199.57,,,-63431324.6,3350466.46,101759952.52,,4176356.43,1019539609.28,10020466.28,959876279.59,,46768313.74,,,2874549.67,44435349.5,9832383.68,,2251202.99,,52016530.19,12463669.74,39552860.45,,,39041943.8,510916.65,,,-3047496.42,,,,,,,,,,,,,,,,,,,36505364.03,35994447.38,510916.65,,,其他,未审计,20190314,CNY,合并期末,2020-03-13T15:58:11
20180630,803583133.63,631135539.92,308696296.5,244440659.87,67524441.72,,,,-27132649.6,651770006.75,678902656.35,149228992.17,309081.66,,,-22540968.87,757717.53,68441857.88,-8911.8,3701556.4,685364411.71,7635545.36,629048802.67,46984708.16,,,,1695355.52,118218721.92,9335725.82,,2081424.91,,125473022.83,35820972.06,89652050.77,,,89131236.88,520813.89,,,1294686.28,1294686.28,,,,,,,,,,,,,,,,,,90946737.05,90425923.16,520813.89,,,其他,未审计,20180829,CNY,合并期末,2020-03-13T15:58:11
