date,exports,imports
1970-01-01 00:00:00.177763000,6.5,-9.76740918
1970-01-01 00:00:00.177973297,2.7,-0.31657001
1970-01-01 00:00:00.179248000,15.4,20.61377488
1970-01-01 00:00:00.179380767,2.9,11.30335622
1970-01-01 00:00:00.180204470,11.3,-8.59329676
1970-01-01 00:00:00.180273000,6.6,-22.34849826
1970-01-01 00:00:00.180659000,-6.5,0.79992686
1970-01-01 00:00:00.181140762,15.3,12.16431825
1970-01-01 00:00:00.182102000,10.0,47.08652811
1970-01-01 00:00:00.182680000,1.0,-3.88446274
1970-01-01 00:00:00.183440000,-10.4,3.08215722
1970-01-01 00:00:00.184571998,-6.9,15.61526027
1970-01-01 00:00:00.185294000,5.6,-9.55734053
1970-01-01 00:00:00.185313000,-0.3,5.05115208
1970-01-01 00:00:00.185915000,5.1,14.4174242
1970-01-01 00:00:00.186349509,9.9,4.8692091
1970-01-01 00:00:00.186756000,7.2,-2.82071073
1970-01-01 00:00:00.186931000,14.7,-7.88981902
1970-01-01 00:00:00.187288000,25.0,-5.01949914
1970-01-01 00:00:00.187903000,6.3,-11.46939326
1970-01-01 00:00:00.188450000,0.8,4.79517581
1970-01-01 00:00:00.188800000,-3.4,-7.74696744
1970-01-01 00:00:00.188831000,-3.8,4.85367918
1970-01-01 00:00:00.189088000,7.6,5.60350015
1970-01-01 00:00:00.189545000,1.5,9.64784346
1970-01-01 00:00:00.190493000,7.2,-3.44796827
1970-01-01 00:00:00.192119000,6.4,-4.08240359
1970-01-01 00:00:00.192189000,-7.0,-9.91900466
1970-01-01 00:00:00.193161000,-9.2,4.81132272
1970-01-01 00:00:00.193561000,-1.5,16.94709764
1970-01-01 00:00:00.193606315,-2.7,8.18877602
1970-01-01 00:00:00.194755000,10.3,2.93029243
1970-01-01 00:00:00.195596000,7.1,-6.14243813
1970-01-01 00:00:00.196161000,-5.8,-9.79496603
1970-01-01 00:00:00.196593000,-7.0,8.94784688
1970-01-01 00:00:00.197944000,7.9,7.95584726
1970-01-01 00:00:00.198043000,4.9,7.28462881
1970-01-01 00:00:00.198234435,14.0,26.06042582
1970-01-01 00:00:00.198936000,11.9,-3.88159872
1970-01-01 00:00:00.199229682,14.1,4.92261437
1970-01-01 00:00:00.199469000,10.7,1.95810257
1970-01-01 00:00:00.199483191,3.1,-6.10956499
1970-01-01 00:00:00.199876000,-3.5,-20.81694965
1970-01-01 00:00:00.202083000,12.7,9.12167199
1970-01-01 00:00:00.204385038,154.9,-16.13920938
1970-01-01 00:00:00.204923000,-3.9,6.48040272
1970-01-01 00:00:00.206428326,-3.5,-6.29936361
1970-01-01 00:00:00.206771000,11.6,-11.66780003
1970-01-01 00:00:00.207037000,10.5,-3.91184755
1970-01-01 00:00:00.207367000,4.3,8.20352878
1970-01-01 00:00:00.208330000,9.4,-4.19490782
1970-01-01 00:00:00.208640924,-2.8,2.11605978
1970-01-01 00:00:00.209097000,-6.2,12.62186248
1970-01-01 00:00:00.211563000,4.7,-2.65347174
1970-01-01 00:00:00.211587567,-2.9,-18.01016883
1970-01-01 00:00:00.211592000,11.9,8.94979707
1970-01-01 00:00:00.212465709,-1.5,-5.76280867
1970-01-01 00:00:00.212744000,14.4,6.79895649
1970-01-01 00:00:00.212846693,0.2,16.12848924
1970-01-01 00:00:00.212978599,-0.8,-4.72595007
1970-01-01 00:00:00.213562000,15.3,15.0801815
1970-01-01 00:00:00.213917758,1.1,-4.29765726
1970-01-01 00:00:00.214403000,11.6,6.996926
1970-01-01 00:00:00.214759000,14.3,-6.8404276
1970-01-01 00:00:00.214775662,-3.1,-1.49057931
1970-01-01 00:00:00.214796000,6.0,-22.68762173
1970-01-01 00:00:00.214873286,-1.0,1.34974883
1970-01-01 00:00:00.215596000,10.7,-7.16665692
1970-01-01 00:00:00.215839000,11.5,17.48364282
1970-01-01 00:00:00.216949000,9.6,1.9998502
1970-01-01 00:00:00.218008133,9.3,9.52128991
1970-01-01 00:00:00.218214874,-3.2,-0.56652465
1970-01-01 00:00:00.220850000,-4.4,-10.07756187
1970-01-01 00:00:00.221442325,-1.3,7.96612459
1970-01-01 00:00:00.221659069,6.3,-18.80831822
1970-01-01 00:00:00.221772397,3.4,9.17670902
1970-01-01 00:00:00.223136000,-1.6,14.64772536
1970-01-01 00:00:00.224294000,3.9,0.35701319
1970-01-01 00:00:00.225398000,13.9,2.35088014
1970-01-01 00:00:00.227430000,9.7,13.21190321
1970-01-01 00:00:00.231523000,10.9,0.15050309
1970-01-01 00:00:00.234372876,9.1,0.42044187
1970-01-01 00:00:00.236229943,10.9,-11.98444744
1970-01-01 00:00:00.236839118,6.8,4.97308582
1970-01-01 00:00:00.238612878,9.4,14.66482533
1970-01-01 00:00:00.238638083,7.9,3.86608368
1970-01-01 00:00:00.240543051,30.6,35.19555357
1970-01-01 00:00:00.263091278,32.1,-2.78296411
1970-01-01 00:00:00.263229261,27.7,-0.99944401
1970-01-01 00:00:00.263382206,24.6,-1.90520057
1970-01-01 00:00:00.266912158,20.6,7.68829103
1970-01-01 00:00:00.268965296,3.5,-3.19232382
1970-01-01 00:00:00.272869482,14.3,21.94705646
1970-01-01 00:00:00.274198382,-6.6,-1.35406541
1970-01-01 00:00:00.279138166,-7.6,22.07557958
1970-01-01 00:00:00.280304246,32.1,4.7513306
1970-01-01 00:00:00.280778782,-14.2,-5.81615481
1970-01-01 00:00:00.280918556,-7.6,6.27369522
1970-01-01 00:00:00.281278374,19.2,-1.91739628
1970-01-01 00:00:00.281687569,18.1,6.86927839
1970-01-01 00:00:00.283376665,-12.4,-0.90291576
1970-01-01 00:00:00.283838806,-8.5,7.56638839
1970-01-01 00:00:00.284408501,-12.0,-15.50995392
1970-01-01 00:00:00.288077191,7.1,-9.91475083
1970-01-01 00:00:00.290615312,-9.0,6.09908671
1970-01-01 00:00:00.291717286,1.3,-0.32743728
1970-01-01 00:00:00.292628693,0.7,2.39414393
1970-01-01 00:00:00.293171355,25.4,3.659845
1970-01-01 00:00:00.293613877,-0.3,-10.24413349
1970-01-01 00:00:00.296452812,-6.8,2.17586309
1970-01-01 00:00:00.296899982,-9.9,1.36189065
1970-01-01 00:00:00.299119981,26.9,-9.46512961
1970-01-01 00:00:00.299819425,39.6,-10.82655232
1970-01-01 00:00:00.300223715,6.9,3.14412761
1970-01-01 00:00:00.301603113,7.4,0.16769387
1970-01-01 00:00:00.302448025,10.9,14.62384144
1970-01-01 00:00:00.303276227,2.3,2.22990466
1970-01-01 00:00:00.303372463,2.4,2.27315865
1970-01-01 00:00:00.303898564,16.4,2.29638711
1970-01-01 00:00:00.304698741,28.0,1.03779455
1970-01-01 00:00:00.304923391,-1.2,-9.46985287
1970-01-01 00:00:00.306224051,7.7,-2.63376694
1970-01-01 00:00:00.307235753,8.5,-5.45326804
1970-01-01 00:00:00.308242308,8.6,0.90582073
1970-01-01 00:00:00.308855475,12.7,-3.82500264
1970-01-01 00:00:00.310386496,7.4,1.81859344
1970-01-01 00:00:00.311877394,6.6,0.66285797
1970-01-01 00:00:00.313084696,12.2,15.03286396
1970-01-01 00:00:00.315120902,8.0,3.81903871
1970-01-01 00:00:00.315633597,4.6,-2.8956044
1970-01-01 00:00:00.318242611,5.6,1.15685777
1970-01-01 00:00:00.321045179,2.5,29.20886559
1970-01-01 00:00:00.321229455,7.1,6.15368329
1970-01-01 00:00:00.321313338,4.3,-1.63215004
1970-01-01 00:00:00.323277032,24.0,-1.0073342
1970-01-01 00:00:00.323406642,17.1,1.01523601
1970-01-01 00:00:00.324277287,21.7,17.83661975
1970-01-01 00:00:00.324279608,5.9,-19.13756781
1970-01-01 00:00:00.324688563,5.8,-0.96479861
1970-01-01 00:00:00.327463192,18.1,-0.38095428
1970-01-01 00:00:00.328175281,8.2,8.67658249
1970-01-01 00:00:00.330002238,5.9,1.38934005
1970-01-01 00:00:00.335645884,10.7,7.41945358
1970-01-01 00:00:00.339662266,20.9,-2.59200094
1970-01-01 00:00:00.356577099,10.0,-3.85133787
1970-01-01 00:00:00.357317289,6.6,11.17018851
1970-01-01 00:00:00.359442136,14.1,1.52988998
