date,exports
1970-01-01 00:00:00.188800000,-3.4
1970-01-01 00:00:00.188831000,-3.8
1970-01-01 00:00:00.189088000,7.6
1970-01-01 00:00:00.189545000,1.5
1970-01-01 00:00:00.190493000,7.2
1970-01-01 00:00:00.192119000,6.4
1970-01-01 00:00:00.192189000,-7.0
1970-01-01 00:00:00.193161000,-9.2
1970-01-01 00:00:00.193561000,-1.5
1970-01-01 00:00:00.193606315,-2.7
1970-01-01 00:00:00.194755000,10.3
1970-01-01 00:00:00.195596000,7.1
1970-01-01 00:00:00.196161000,-5.8
1970-01-01 00:00:00.196593000,-7.0
1970-01-01 00:00:00.197944000,7.9
1970-01-01 00:00:00.198043000,4.9
1970-01-01 00:00:00.198234435,14.0
1970-01-01 00:00:00.198936000,11.9
1970-01-01 00:00:00.199229682,14.1
1970-01-01 00:00:00.199469000,10.7
1970-01-01 00:00:00.199483191,3.1
1970-01-01 00:00:00.199876000,-3.5
1970-01-01 00:00:00.202083000,12.7
1970-01-01 00:00:00.204385038,154.9
1970-01-01 00:00:00.204923000,-3.9
1970-01-01 00:00:00.206428326,-3.5
1970-01-01 00:00:00.206771000,11.6
1970-01-01 00:00:00.207037000,10.5
1970-01-01 00:00:00.207367000,4.3
1970-01-01 00:00:00.208330000,9.4
1970-01-01 00:00:00.208640924,-2.8
1970-01-01 00:00:00.209097000,-6.2
1970-01-01 00:00:00.211563000,4.7
1970-01-01 00:00:00.211587567,-2.9
1970-01-01 00:00:00.211592000,11.9
1970-01-01 00:00:00.212465709,-1.5
1970-01-01 00:00:00.212744000,14.4
1970-01-01 00:00:00.212846693,0.2
1970-01-01 00:00:00.212978599,-0.8
1970-01-01 00:00:00.213562000,15.3
1970-01-01 00:00:00.213917758,1.1
1970-01-01 00:00:00.214403000,11.6
1970-01-01 00:00:00.214759000,14.3
1970-01-01 00:00:00.214775662,-3.1
1970-01-01 00:00:00.214796000,6.0
1970-01-01 00:00:00.214873286,-1.0
1970-01-01 00:00:00.215596000,10.7
1970-01-01 00:00:00.215839000,11.5
1970-01-01 00:00:00.216949000,9.6
1970-01-01 00:00:00.218008133,9.3
1970-01-01 00:00:00.218214874,-3.2
1970-01-01 00:00:00.220850000,-4.4
1970-01-01 00:00:00.221442325,-1.3
1970-01-01 00:00:00.221659069,6.3
1970-01-01 00:00:00.221772397,3.4
1970-01-01 00:00:00.223136000,-1.6
1970-01-01 00:00:00.224294000,3.9
1970-01-01 00:00:00.225398000,13.9
1970-01-01 00:00:00.227430000,9.7
1970-01-01 00:00:00.231523000,10.9
1970-01-01 00:00:00.234372876,9.1
1970-01-01 00:00:00.236229943,10.9
1970-01-01 00:00:00.236839118,6.8
1970-01-01 00:00:00.238612878,9.4
1970-01-01 00:00:00.238638083,7.9
1970-01-01 00:00:00.240543051,30.6
1970-01-01 00:00:00.263091278,32.1
1970-01-01 00:00:00.263229261,27.7
1970-01-01 00:00:00.263382206,24.6
1970-01-01 00:00:00.266912158,20.6
1970-01-01 00:00:00.268965296,3.5
1970-01-01 00:00:00.272869482,14.3
1970-01-01 00:00:00.274198382,-6.6
1970-01-01 00:00:00.279138166,-7.6
1970-01-01 00:00:00.280304246,32.1
1970-01-01 00:00:00.280778782,-14.2
1970-01-01 00:00:00.280918556,-7.6
1970-01-01 00:00:00.281278374,19.2
1970-01-01 00:00:00.281687569,18.1
1970-01-01 00:00:00.283376665,-12.4
1970-01-01 00:00:00.283838806,-8.5
1970-01-01 00:00:00.284408501,-12.0
1970-01-01 00:00:00.288077191,7.1
1970-01-01 00:00:00.290615312,-9.0
1970-01-01 00:00:00.291717286,1.3
1970-01-01 00:00:00.292628693,0.7
1970-01-01 00:00:00.293171355,25.4
1970-01-01 00:00:00.293613877,-0.3
1970-01-01 00:00:00.296452812,-6.8
1970-01-01 00:00:00.296899982,-9.9
1970-01-01 00:00:00.299119981,26.9
1970-01-01 00:00:00.299819425,39.6
1970-01-01 00:00:00.300223715,6.9
1970-01-01 00:00:00.301603113,7.4
1970-01-01 00:00:00.302448025,10.9
1970-01-01 00:00:00.303276227,2.3
1970-01-01 00:00:00.303372463,2.4
1970-01-01 00:00:00.303898564,16.4
1970-01-01 00:00:00.304698741,28.0
1970-01-01 00:00:00.304923391,-1.2
1970-01-01 00:00:00.306224051,7.7
1970-01-01 00:00:00.307235753,8.5
1970-01-01 00:00:00.308242308,8.6
1970-01-01 00:00:00.308855475,12.7
1970-01-01 00:00:00.310386496,7.4
1970-01-01 00:00:00.311877394,6.6
1970-01-01 00:00:00.313084696,12.2
1970-01-01 00:00:00.315120902,8.0
1970-01-01 00:00:00.315633597,4.6
1970-01-01 00:00:00.318242611,5.6
1970-01-01 00:00:00.321045179,2.5
1970-01-01 00:00:00.321229455,7.1
1970-01-01 00:00:00.321313338,4.3
1970-01-01 00:00:00.323277032,24.0
1970-01-01 00:00:00.323406642,17.1
1970-01-01 00:00:00.324277287,21.7
1970-01-01 00:00:00.324279608,5.9
1970-01-01 00:00:00.324688563,5.8
1970-01-01 00:00:00.327463192,18.1
1970-01-01 00:00:00.328175281,8.2
1970-01-01 00:00:00.330002238,5.9
1970-01-01 00:00:00.335645884,10.7
1970-01-01 00:00:00.339662266,20.9
1970-01-01 00:00:00.356577099,10.0
1970-01-01 00:00:00.357317289,6.6
1970-01-01 00:00:00.359442136,14.1
