date,item,value
202411,全国城镇调查失业率 ,5.0
202411,全国城镇外来户籍劳动力失业率 ,4.6
202412,全国城镇外来户籍劳动力失业率 ,4.6
202412,全国城镇本地户籍劳动力失业率 ,5.3
202412,全国城镇调查失业率 ,5.1
202501,全国城镇外来户籍劳动力失业率 ,4.7
202501,全国城镇调查失业率 ,5.2
202501,全国城镇本地户籍劳动力失业率 ,5.4
202502,全国城镇外来户籍劳动力失业率 ,5.0
202502,全国城镇本地户籍劳动力失业率 ,5.6
202502,全国城镇调查失业率 ,5.4
202503,全国城镇调查失业率 ,5.2
202503,全国城镇外来户籍劳动力失业率 ,4.9
202503,全国城镇本地户籍劳动力失业率 ,5.3
202504,全国城镇调查失业率 ,5.1
202504,全国城镇外来户籍劳动力失业率 ,4.8
202504,全国城镇本地户籍劳动力失业率 ,5.2
202505,全国城镇本地户籍劳动力失业率 ,5.0
202505,全国城镇调查失业率 ,5.0
202505,全国城镇外来户籍劳动力失业率 ,5.0
202506,全国城镇外来户籍劳动力失业率 ,4.8
202506,全国城镇本地户籍劳动力失业率 ,5.1
202506,全国城镇调查失业率 ,5.0
202507,全国城镇外来户籍劳动力失业率 ,5.1
202507,全国城镇调查失业率 ,5.2
202507,全国城镇本地户籍劳动力失业率 ,5.3
202508,全国城镇外来户籍劳动力失业率 ,5.0
202508,全国城镇本地户籍劳动力失业率 ,5.4
202508,全国城镇调查失业率 ,5.3
202509,全国城镇调查失业率 ,5.2
202509,全国城镇外来户籍劳动力失业率 ,4.9
202509,全国城镇本地户籍劳动力失业率 ,5.3
202510,全国城镇调查失业率 ,5.1
202510,全国城镇外来户籍劳动力失业率 ,4.7
202510,全国城镇本地户籍劳动力失业率 ,5.3
202511,全国城镇外来户籍劳动力失业率 ,4.7
202511,全国城镇本地户籍劳动力失业率 ,5.3
202511,全国城镇调查失业率 ,5.1
202512,全国城镇外来户籍劳动力失业率 ,4.7
202512,全国城镇本地户籍劳动力失业率 ,5.3
202512,全国城镇调查失业率 ,5.1
202601,全国城镇调查失业率 ,5.2
202601,全国城镇外来户籍劳动力失业率 ,4.8
202601,全国城镇本地户籍劳动力失业率 ,5.3
202602,全国城镇外来户籍劳动力失业率 ,5.0
202602,全国城镇本地户籍劳动力失业率 ,5.4
202602,全国城镇调查失业率 ,5.3
202603,全国城镇外来户籍劳动力失业率 ,5.3
202603,全国城镇本地户籍劳动力失业率 ,5.4
202603,全国城镇调查失业率 ,5.4
202604,全国城镇外来户籍劳动力失业率 ,5.0
202604,全国城镇本地户籍劳动力失业率 ,5.3
202604,全国城镇调查失业率 ,5.2
