date,open,close,high,low,amount
2022-10-19,651.33,640.11,656.88,635.29,40634.0
2022-10-20,634.51,663.71,664.35,627.79,34666.0
2022-10-21,656.63,649.91,659.71,647.55,19586.0
2022-10-24,644.31,619.11,644.31,604.21,37831.0
2022-10-25,609.33,615.61,626.11,606.53,27620.0
2022-10-26,617.71,623.42,627.37,604.91,22957.0
2022-10-27,620.51,597.01,625.1,593.65,38850.0
2022-10-28,596.71,593.12,606.65,584.58,34870.0
2022-10-31,585.51,581.47,592.51,572.01,30549.0
2022-11-01,586.91,609.78,612.19,579.32,39817.0
2022-11-02,600.91,618.55,642.54,598.02,40848.0
2022-11-03,609.31,611.91,617.71,607.99,13099.0
2022-11-04,606.31,638.73,652.43,603.85,34678.0
2022-11-07,631.71,652.17,659.15,628.88,28471.0
2022-11-08,646.27,640.44,653.91,634.79,14681.0
2022-11-09,639.52,631.99,645.68,629.1,13995.0
2022-11-10,626.58,637.03,643.19,623.64,18085.0
2022-11-11,655.51,661.67,665.25,642.93,38017.0
2022-11-14,660.35,673.01,688.15,660.35,26718.0
2022-11-15,673.01,691.32,729.71,662.17,28438.0
2022-11-16,688.07,715.57,728.31,677.35,27736.0
2022-11-17,712.29,698.88,718.51,687.15,18139.0
2022-11-18,696.27,694.2,700.31,686.31,18443.0
2022-11-21,686.7,690.51,700.31,676.53,26424.0
2022-11-22,690.48,691.07,712.91,687.71,17994.0
2022-11-23,686.64,692.19,706.63,682.11,16833.0
2022-11-24,694.54,691.04,701.15,680.99,13909.0
2022-11-25,687.73,693.22,696.11,685.21,11060.0
2022-11-28,681.46,697.23,700.56,670.07,19185.0
2022-11-29,701.26,708.71,712.85,689.11,26815.0
2022-11-30,698.65,696.97,713.72,693.81,15868.0
2022-12-01,707.31,712.57,743.71,707.31,37214.0
2022-12-02,713.58,701.57,718.95,700.73,25421.0
2022-12-05,707.31,714.28,724.19,706.47,22667.0
2022-12-06,709.21,746.51,770.59,707.98,36078.0
2022-12-07,746.51,749.03,766.11,734.13,25944.0
2022-12-08,754.23,749.53,757.65,741.3,13885.0
2022-12-09,752.11,775.01,775.01,745.11,22711.0
2022-12-12,771.71,762.33,781.39,756.59,20549.0
2022-12-13,758.27,789.43,802.51,754.91,22294.0
2022-12-14,786.66,803.79,808.08,778.43,15851.0
2022-12-15,800.41,796.01,819.22,788.51,14150.0
2022-12-16,796.01,796.01,799.71,785.99,10159.0
2022-12-19,794.11,791.28,805.28,785.99,10440.0
2022-12-20,790.89,773.19,793.74,764.43,16812.0
2022-12-21,774.14,771.85,784.28,769.86,11411.0
2022-12-22,774.51,779.04,790.52,768.91,11732.0
2022-12-23,771.99,785.96,790.24,768.91,11849.0
2022-12-26,785.99,775.93,788.51,774.51,11576.0
2022-12-27,775.93,785.71,814.85,771.15,18040.0
2022-12-28,782.71,780.11,788.51,774.79,12955.0
2022-12-29,777.31,783.86,787.11,763.95,12110.0
2022-12-30,782.82,777.03,788.51,774.79,12651.0
2023-01-03,777.03,767.37,779.74,758.66,17991.0
2023-01-04,766.08,767.67,775.15,753.51,14694.0
2023-01-05,767.67,841.48,841.48,767.67,35895.0
2023-01-06,852.91,845.77,869.31,825.24,37956.0
2023-01-09,859.18,858.51,863.43,835.55,25380.0
2023-01-10,858.53,857.83,872.51,850.11,16466.0
2023-01-11,855.71,852.09,861.31,843.97,12829.0
2023-01-12,852.09,851.51,859.01,842.63,9740.0
2023-01-13,855.43,856.41,867.75,845.37,21903.0
2023-01-16,866.82,872.51,892.11,861.31,29041.0
2023-01-17,869.71,856.18,872.51,849.88,19377.0
2023-01-18,858.51,856.1,876.76,848.71,15995.0
2023-01-19,852.91,850.11,858.51,839.21,12940.0
2023-01-20,852.63,838.77,862.54,834.93,12937.0
2023-01-30,837.23,834.96,851.03,813.71,22011.0
2023-01-31,830.51,808.11,835.21,805.33,23255.0
2023-02-01,813.54,819.25,822.16,799.71,15610.0
2023-02-02,823.2,807.94,823.51,805.87,17854.0
2023-02-03,806.59,818.69,821.55,794.95,19656.0
2023-02-06,813.43,812.59,819.31,789.51,18942.0
2023-02-07,814.01,807.27,817.91,802.56,11496.0
2023-02-08,808.13,799.99,812.31,796.91,10359.0
2023-02-09,799.99,809.73,818.72,798.31,15940.0
2023-02-10,808.11,805.31,813.71,796.91,14760.0
2023-02-13,799.71,822.08,832.69,798.31,27432.0
2023-02-14,822.11,828.52,837.45,817.01,20562.0
2023-02-15,826.81,825.02,838.91,822.39,20737.0
2023-02-16,824.91,836.97,847.31,819.31,18873.0
2023-02-17,836.11,817.74,852.51,816.56,14132.0
2023-02-20,813.73,827.71,832.63,813.73,10515.0
2023-02-21,826.31,809.37,830.17,800.07,12839.0
2023-02-22,802.51,826.31,846.05,799.76,19861.0
2023-02-23,826.87,805.19,833.25,795.53,17395.0
2023-02-24,799.68,792.76,799.73,785.43,11825.0
2023-02-27,792.79,796.91,804.05,782.57,14127.0
2023-02-28,791.64,796.4,806.71,785.99,10488.0
2023-03-01,796.21,808.75,812.73,791.39,14428.0
2023-03-02,808.89,808.11,813.15,799.79,7679.0
2023-03-03,810.29,800.13,822.08,795.51,9673.0
2023-03-06,800.1,805.03,805.19,787.3,7668.0
2023-03-07,803.88,792.96,812.28,788.79,10352.0
2023-03-08,786.13,778.87,790.41,773.95,10562.0
2023-03-09,779.29,792.09,803.91,779.29,15219.0
2023-03-10,782.91,790.05,800.97,780.11,11240.0
2023-03-13,790.05,814.83,821.83,784.7,15028.0
2023-03-14,814.88,800.27,826.0,789.91,12512.0
2023-03-15,797.07,786.32,806.03,785.71,10270.0
2023-03-16,780.11,796.88,803.63,777.59,11425.0
2023-03-17,802.51,765.83,803.49,760.25,29510.0
2023-03-20,765.83,773.13,775.01,746.51,17152.0
2023-03-21,773.69,788.93,798.31,764.23,15777.0
2023-03-22,789.99,773.67,806.62,766.39,14518.0
2023-03-23,773.69,790.13,799.17,767.79,11899.0
2023-03-24,788.51,801.67,819.31,787.95,15949.0
2023-03-27,801.69,791.36,808.08,782.91,11674.0
2023-03-28,794.11,816.48,827.71,788.51,16369.0
2023-03-29,815.44,818.91,821.49,806.37,13189.0
2023-03-30,816.51,821.99,828.55,809.73,10674.0
2023-03-31,822.11,858.51,867.41,822.11,29885.0
2023-04-03,850.16,850.55,874.75,847.31,15130.0
2023-04-04,854.22,878.11,884.1,841.71,18940.0
2023-04-06,874.97,857.08,889.5,845.91,13179.0
2023-04-07,852.91,843.11,866.35,838.35,10771.0
2023-04-10,843.11,844.23,850.11,802.53,27781.0
2023-04-11,844.67,831.71,848.29,822.19,17701.0
2023-04-12,831.71,806.43,834.4,800.49,27565.0
2023-04-13,802.56,804.41,807.66,791.53,20078.0
2023-04-14,801.78,806.06,822.11,800.99,14806.0
2023-04-17,820.71,809.2,837.45,799.71,16313.0
2023-04-18,807.6,821.71,822.11,802.98,11491.0
2023-04-19,818.52,803.04,819.31,796.91,12497.0
2023-04-20,803.07,787.11,804.89,782.88,10525.0
2023-04-21,790.89,793.35,810.35,780.11,10725.0
2023-04-24,795.51,771.43,795.51,766.11,18967.0
2023-04-25,770.39,774.79,782.51,763.67,9589.0
2023-04-26,774.76,779.49,783.47,767.87,9730.0
2023-04-27,774.51,785.65,794.13,759.11,15257.0
2023-04-28,793.27,796.18,808.41,787.95,12951.0
2023-05-04,830.0,848.09,864.33,822.11,46367.0
2023-05-05,855.71,867.61,872.79,842.35,21045.0
2023-05-08,870.63,848.96,872.51,843.11,19547.0
2023-05-09,844.76,839.05,857.25,836.95,23445.0
2023-05-10,840.03,827.15,840.31,822.11,14567.0
2023-05-11,827.15,829.36,835.8,823.51,9705.0
2023-05-12,827.71,815.41,833.31,810.91,10855.0
2023-05-15,814.97,824.26,827.06,797.27,14099.0
2023-05-16,824.93,812.89,825.86,805.31,7172.0
2023-05-17,808.64,798.78,813.71,794.25,9121.0
2023-05-18,799.15,807.43,818.97,796.91,12227.0
2023-05-19,804.35,805.28,812.98,786.27,10498.0
2023-05-22,799.71,830.53,841.71,791.03,16673.0
2023-05-23,830.56,815.33,835.69,813.54,10728.0
2023-05-24,810.85,798.45,815.02,796.91,9300.0
2023-05-25,798.45,777.19,798.45,767.17,13870.0
2023-05-26,777.19,765.43,782.35,760.51,9914.0
2023-05-29,765.57,756.61,771.71,746.51,16181.0
2023-05-30,753.53,756.5,764.71,749.53,11588.0
2023-05-31,746.79,735.08,750.03,729.76,17072.0
2023-06-01,735.05,740.91,748.35,733.71,14135.0
2023-06-02,738.02,752.11,752.11,733.93,15852.0
2023-06-05,743.71,718.73,745.95,717.11,20611.0
2023-06-06,721.31,715.43,726.35,701.71,24479.0
2023-06-07,715.23,697.67,717.05,695.71,21514.0
2023-06-08,698.99,717.11,719.99,696.11,17224.0
2023-06-09,715.15,718.14,728.28,710.19,16402.0
2023-06-12,716.13,736.99,752.11,710.78,17410.0
2023-06-13,736.59,748.33,753.81,732.65,14863.0
2023-06-14,748.33,778.9,785.37,748.33,19891.0
2023-06-15,778.68,779.01,786.27,772.32,14943.0
2023-06-16,780.11,779.83,788.48,771.99,14146.0
2023-06-19,778.71,771.73,785.71,760.51,19990.0
2023-06-20,774.48,762.27,775.74,752.95,14094.0
2023-06-21,760.34,750.93,767.17,749.31,12379.0
2023-06-26,743.68,735.42,746.45,726.85,16732.0
2023-06-27,736.73,739.51,747.88,729.57,10946.0
2023-06-28,738.89,740.6,753.93,732.79,11379.0
2023-06-29,737.77,731.97,746.23,726.91,10293.0
2023-06-30,733.07,722.37,736.43,716.01,13167.0
2023-07-03,724.97,745.39,747.51,711.59,18538.0
2023-07-04,745.39,749.47,749.59,731.25,10807.0
2023-07-05,746.48,735.14,746.48,727.47,12869.0
2023-07-06,735.03,721.36,740.91,716.55,14179.0
2023-07-07,718.48,721.31,726.91,711.79,9353.0
2023-07-10,723.01,717.11,727.83,711.48,12638.0
2023-07-11,715.71,713.69,716.52,707.78,10176.0
2023-07-12,712.82,716.74,722.82,710.36,9019.0
2023-07-13,720.41,728.61,738.05,719.09,17445.0
2023-07-14,729.37,732.51,738.05,725.73,10943.0
2023-07-17,729.73,731.22,734.97,723.55,7989.0
2023-07-18,731.67,724.44,735.05,723.27,8943.0
2023-07-19,724.44,722.2,731.11,717.11,8368.0
2023-07-20,723.55,724.11,743.71,721.75,14174.0
2023-07-21,724.11,746.03,751.04,720.49,26068.0
2023-07-24,745.95,732.76,745.95,726.96,13634.0
2023-07-25,757.71,762.75,777.31,753.51,32414.0
2023-07-26,759.64,764.93,774.51,753.53,11854.0
2023-07-27,766.05,782.96,791.31,760.51,26139.0
2023-07-28,785.76,815.27,818.19,777.33,26917.0
2023-07-31,815.25,800.01,864.11,798.31,31076.0
2023-08-01,800.04,791.73,806.68,785.65,15646.0
2023-08-02,788.23,791.36,796.35,785.73,9165.0
2023-08-03,788.45,792.99,799.71,778.79,10957.0
2023-08-04,799.57,793.24,813.71,789.49,9952.0
2023-08-07,782.93,782.35,793.52,777.31,11830.0
2023-08-08,782.35,788.79,792.9,775.29,10316.0
2023-08-09,787.08,798.67,802.51,784.31,11535.0
2023-08-10,795.17,798.0,801.27,789.57,11234.0
2023-08-11,800.88,785.71,806.9,785.71,11386.0
2023-08-14,779.18,781.56,783.21,763.56,12162.0
2023-08-15,789.01,775.93,789.91,773.16,9534.0
2023-08-16,772.27,774.87,783.27,769.24,8969.0
2023-08-17,769.89,801.89,808.11,766.69,15788.0
2023-08-18,798.59,782.32,805.25,781.51,10574.0
2023-08-21,782.93,792.31,814.43,780.22,20093.0
2023-08-22,792.34,789.15,798.67,780.11,12049.0
2023-08-23,788.51,777.19,795.93,777.19,7433.0
2023-08-24,777.19,803.74,810.21,776.13,13334.0
2023-08-25,798.36,795.81,805.03,786.27,11262.0
2023-08-28,824.91,797.8,837.51,789.91,17099.0
2023-08-29,792.71,806.99,808.11,788.51,11893.0
2023-08-30,808.05,818.41,826.31,803.26,12351.0
2023-08-31,830.51,844.65,849.83,803.91,24134.0
2023-09-01,844.51,857.08,858.79,842.01,16354.0
2023-09-04,856.74,856.83,874.97,850.11,21037.0
2023-09-05,865.84,849.29,866.01,847.03,11763.0
2023-09-06,849.27,842.49,851.42,839.75,7861.0
2023-09-07,836.11,835.69,848.54,832.44,12494.0
2023-09-08,831.91,830.11,839.63,823.03,7076.0
2023-09-11,830.11,829.53,843.25,820.71,10088.0
2023-09-12,829.53,826.03,833.81,823.67,6423.0
2023-09-13,827.71,827.12,831.91,816.51,7318.0
2023-09-14,824.82,828.35,834.71,822.33,7558.0
2023-09-15,828.85,821.29,832.86,816.93,11785.0
2023-09-18,813.73,830.59,831.91,812.59,8877.0
2023-09-19,830.59,824.04,830.59,815.39,7308.0
2023-09-20,823.34,816.53,823.34,813.71,5106.0
2023-09-21,812.59,800.6,815.95,800.27,9382.0
2023-09-22,799.71,815.61,817.29,795.65,13475.0
2023-09-25,815.83,805.5,820.54,804.52,8489.0
2023-09-26,804.47,798.64,808.89,797.47,8461.0
2023-09-27,805.0,810.46,818.69,800.88,10760.0
2023-09-28,810.51,799.15,813.59,798.03,9032.0
2023-10-09,799.29,800.35,807.24,785.82,12821.0
2023-10-10,800.57,792.26,814.15,791.73,10515.0
2023-10-11,792.31,793.01,798.45,790.16,7011.0
2023-10-12,798.31,792.15,805.53,785.37,9776.0
2023-10-13,788.56,783.75,791.28,776.58,8535.0
2023-10-16,783.69,774.17,784.31,769.52,7799.0
2023-10-17,776.24,774.17,782.35,767.56,7474.0
2023-10-18,771.68,769.8,785.71,766.69,9321.0
2023-10-19,768.07,754.91,768.91,753.98,9321.0
2023-10-20,752.19,749.61,760.81,746.79,7967.0
2023-10-23,749.61,746.06,765.13,742.59,8155.0
2023-10-24,747.57,760.37,764.71,740.91,13411.0
2023-10-25,774.51,772.1,779.8,763.7,11231.0
2023-10-26,766.08,782.35,783.27,763.31,8565.0
2023-10-27,782.77,794.97,797.41,777.36,8096.0
2023-10-30,795.17,810.85,818.97,795.17,11933.0
2023-10-31,815.11,819.36,823.23,804.55,11187.0
2023-11-01,850.11,823.23,864.05,822.11,20253.0
2023-11-02,823.25,808.11,825.61,803.91,9804.0
2023-11-03,809.51,804.33,815.39,801.83,10688.0
2023-11-06,804.49,796.91,809.34,788.51,14248.0
2023-11-07,792.71,790.61,794.05,782.91,10046.0
2023-11-08,785.71,785.71,791.25,781.45,8056.0
2023-11-09,782.32,786.77,789.57,780.13,7934.0
2023-11-10,784.0,783.94,786.24,775.91,9762.0
2023-11-13,781.51,774.2,781.95,770.53,8040.0
2023-11-14,774.14,769.89,779.77,767.39,8339.0
2023-11-15,774.09,776.83,782.35,771.87,9697.0
2023-11-16,776.63,768.43,780.67,767.7,5834.0
2023-11-17,766.11,761.18,768.37,754.91,7990.0
2023-11-20,761.07,765.69,776.05,753.79,10575.0
2023-11-21,766.11,774.23,778.65,759.16,11363.0
2023-11-22,769.47,777.11,778.71,767.56,6750.0
2023-11-23,774.65,770.31,777.03,764.71,6131.0
2023-11-24,768.91,767.37,773.11,762.19,6076.0
2023-11-27,761.49,754.21,763.56,747.91,10104.0
2023-11-28,749.31,756.45,761.91,748.77,6787.0
2023-11-29,753.51,750.96,756.28,744.71,5616.0
2023-11-30,752.95,762.07,764.71,749.31,7718.0
2023-12-01,762.1,747.6,764.68,747.07,9052.0
2023-12-04,746.53,721.7,750.68,717.47,20233.0
2023-12-05,717.41,706.19,719.91,705.04,10826.0
2023-12-06,700.81,709.21,716.77,697.51,15099.0
2023-12-07,709.21,706.35,712.35,698.09,10883.0
2023-12-08,707.17,712.91,715.06,696.36,15524.0
2023-12-11,707.22,721.25,722.65,687.76,22484.0
2023-12-12,720.05,720.61,725.95,716.07,8519.0
2023-12-13,718.23,696.25,719.82,696.11,15821.0
2023-12-14,696.11,675.11,700.08,671.97,18406.0
2023-12-15,675.08,670.65,682.11,662.51,17876.0
2023-12-18,666.73,665.19,673.43,659.79,13345.0
2023-12-19,663.21,665.67,667.83,657.07,9587.0
2023-12-20,665.33,656.09,669.93,654.02,11287.0
2023-12-21,651.03,659.71,664.77,650.8,10983.0
2023-12-22,659.76,662.17,668.11,656.04,11112.0
2023-12-25,659.71,667.97,669.76,659.71,8184.0
2023-12-26,667.18,667.41,670.63,663.91,8078.0
2023-12-27,669.45,671.8,676.53,664.19,11107.0
2023-12-28,670.88,695.46,698.35,666.2,16926.0
2023-12-29,695.46,689.95,702.24,682.13,17937.0
2024-01-02,687.17,666.26,690.0,664.19,18851.0
2024-01-03,663.63,646.49,666.71,639.83,25277.0
2024-01-04,642.91,630.45,645.71,625.43,20672.0
2024-01-05,627.03,633.86,640.05,624.76,15557.0
2024-01-08,636.19,636.61,645.71,631.71,18620.0
2024-01-09,632.74,629.86,634.39,617.71,20055.0
2024-01-10,628.88,629.49,638.43,624.45,13138.0
2024-01-11,626.39,634.2,637.31,621.91,13033.0
2024-01-12,631.76,639.43,643.21,626.95,14129.0
2024-01-15,636.05,632.91,647.95,628.91,16613.0
2024-01-16,631.26,637.25,641.51,627.31,13142.0
2024-01-17,637.25,621.07,637.31,620.79,16613.0
2024-01-18,616.73,628.82,629.8,610.43,14921.0
2024-01-19,623.87,637.7,642.29,623.84,13628.0
2024-01-22,635.71,617.76,636.89,615.58,17557.0
2024-01-23,617.59,618.27,629.33,609.31,14664.0
2024-01-24,619.41,620.03,624.06,604.69,14013.0
2024-01-25,620.0,633.11,634.23,614.91,19259.0
2024-01-26,630.5,630.98,641.51,626.55,15385.0
2024-01-29,630.98,626.95,644.56,613.0,19156.0
2024-01-30,621.04,600.32,626.08,599.48,21941.0
2024-01-31,600.26,595.64,602.59,585.2,16813.0
2024-02-01,593.35,598.27,605.11,591.27,14550.0
2024-02-02,600.6,611.13,621.91,595.75,22965.0
2024-02-05,600.85,626.72,633.89,598.22,23314.0
2024-02-06,626.61,652.99,654.3,623.31,26266.0
2024-02-07,652.99,666.71,666.71,645.15,24767.0
2024-02-08,666.87,654.11,684.32,649.07,19621.0
2024-02-19,670.91,657.83,683.9,651.31,20724.0
2024-02-20,655.79,648.81,663.29,640.39,14187.0
2024-02-21,639.94,672.47,682.44,637.87,25361.0
2024-02-22,667.1,667.77,673.71,660.24,18933.0
2024-02-23,667.55,666.31,674.27,659.15,13813.0
2024-02-26,661.22,659.71,670.18,652.85,12809.0
2024-02-27,654.95,652.71,657.75,644.61,17371.0
2024-02-28,650.91,644.73,658.28,644.73,16539.0
2024-02-29,642.91,651.67,652.01,642.21,20349.0
2024-03-01,647.22,658.33,660.49,644.31,19026.0
2024-03-04,656.01,666.03,667.27,656.01,18639.0
2024-03-05,663.51,685.19,687.65,662.51,24163.0
2024-03-06,684.57,679.59,699.52,677.35,18623.0
2024-03-07,678.05,687.68,697.87,677.96,15304.0
2024-03-08,685.97,679.14,691.88,673.71,9901.0
2024-03-11,675.11,695.27,701.37,675.11,15215.0
2024-03-12,695.77,717.19,721.28,689.53,26652.0
2024-03-13,712.91,710.64,719.77,704.59,10918.0
2024-03-14,710.61,715.01,729.71,710.11,13729.0
2024-03-15,711.53,712.54,724.11,708.23,7975.0
2024-03-18,712.88,729.71,732.2,707.84,16822.0
2024-03-19,729.71,757.4,771.71,724.67,26552.0
2024-03-20,757.09,758.24,760.48,744.57,20468.0
2024-03-21,754.63,784.17,785.68,752.11,20033.0
2024-03-22,782.91,770.31,782.91,743.71,23381.0
2024-03-25,760.51,760.28,766.95,742.28,18537.0
2024-03-26,760.28,781.79,782.91,757.79,16083.0
2024-03-27,782.91,773.39,786.63,770.03,10496.0
2024-03-28,773.64,772.94,785.2,761.07,12520.0
2024-03-29,771.68,766.11,775.93,759.47,9691.0
2024-04-01,768.82,791.31,793.46,765.15,16174.0
2024-04-02,787.39,785.15,792.57,780.22,9334.0
2024-04-03,783.52,785.71,799.65,777.31,8740.0
2024-04-08,780.11,748.63,780.11,746.84,27936.0
2024-04-09,744.97,756.7,761.91,744.6,11312.0
2024-04-10,754.93,752.53,760.2,747.32,6984.0
2024-04-11,749.22,758.07,763.31,748.75,7069.0
2024-04-12,757.71,744.21,761.21,740.91,8361.0
2024-04-15,744.21,773.53,776.55,740.91,13804.0
2024-04-16,769.75,748.63,774.79,747.91,13156.0
2024-04-17,747.29,752.64,756.28,744.27,8567.0
2024-04-18,752.64,751.69,765.52,747.07,8949.0
2024-04-19,751.13,743.09,752.78,735.92,10078.0
2024-04-22,744.66,763.59,766.05,742.33,10660.0
2024-04-23,763.28,772.8,776.19,758.27,10990.0
2024-04-24,768.91,771.68,776.16,759.16,8108.0
