date,open,close,high,low,amount
2022-05-24,378.71,372.61,383.8,371.34,652277.0
2022-05-25,370.84,377.95,379.98,366.26,530749.0
2022-05-26,377.95,388.37,398.79,371.85,865126.0
2022-05-27,381.51,390.91,397.52,378.71,1031213.0
2022-05-30,386.59,386.59,394.73,383.54,733262.0
2022-05-31,384.81,376.93,384.81,375.16,741419.0
2022-06-01,376.43,379.22,384.81,375.92,543451.0
2022-06-02,378.97,389.39,396.5,378.21,903985.0
2022-06-06,386.85,383.03,388.88,381.51,658704.0
2022-06-07,381.76,374.39,382.78,372.87,573975.0
2022-06-08,374.65,380.24,380.49,371.6,498415.0
2022-06-09,376.68,371.34,377.19,370.33,390338.0
2022-06-10,369.82,375.16,376.68,369.82,335422.0
2022-06-13,374.14,375.41,379.22,372.11,336958.0
2022-06-14,372.61,383.8,384.31,370.33,657207.0
2022-06-15,382.78,382.02,391.17,381.76,781403.0
2022-06-16,380.49,376.17,383.54,375.41,433524.0
2022-06-17,375.16,377.95,379.48,373.89,314954.0
2022-06-20,377.7,377.95,379.48,375.41,274984.0
2022-06-21,376.17,375.92,377.44,374.14,239815.0
2022-06-22,375.92,396.5,396.5,375.66,1001496.0
2022-06-23,397.27,404.38,414.55,396.76,2122453.0
2022-06-24,402.6,399.55,404.38,396.25,1106769.0
2022-06-27,398.03,399.55,406.16,396.76,1180893.0
2022-06-28,401.59,411.5,418.61,398.03,1521508.0
2022-06-29,409.47,392.95,411.75,392.18,1248873.0
2022-06-30,390.91,390.4,397.01,389.13,633764.0
2022-07-01,391.17,389.9,394.22,384.05,582463.0
2022-07-04,389.9,386.85,390.15,384.81,395889.0
2022-07-05,385.32,383.8,390.4,380.75,474788.0
2022-07-06,382.27,380.49,384.56,378.21,314386.0
2022-07-07,380.75,391.93,392.44,380.49,708926.0
2022-07-08,389.64,385.32,390.91,385.07,444049.0
2022-07-11,384.31,378.21,384.31,377.19,340572.0
2022-07-12,378.21,378.71,383.29,377.19,260702.0
2022-07-13,378.46,379.98,381.0,375.41,268725.0
2022-07-14,378.46,376.93,380.24,375.92,271000.0
2022-07-15,375.66,367.79,380.75,367.02,465556.0
2022-07-18,368.29,373.63,374.39,368.29,270232.0
2022-07-19,374.14,375.16,379.48,373.38,306590.0
2022-07-20,374.9,377.44,381.0,374.39,253205.0
2022-07-21,377.19,376.93,379.22,374.65,242487.0
2022-07-22,377.19,376.17,379.48,375.16,266056.0
2022-07-25,376.17,371.85,376.17,368.8,261857.0
2022-07-26,371.34,372.36,372.87,369.06,176224.0
2022-07-27,372.11,369.82,373.38,369.06,178866.0
2022-07-28,370.33,370.07,372.61,369.82,148015.0
2022-07-29,370.07,370.84,372.11,369.31,169245.0
2022-08-01,369.31,372.61,373.38,366.26,282962.0
2022-08-02,369.82,362.7,369.82,358.64,374417.0
2022-08-03,360.92,359.65,369.82,358.89,275812.0
2022-08-04,359.65,358.38,360.67,355.08,188411.0
2022-08-05,358.38,360.67,360.92,357.37,135659.0
2022-08-08,359.91,362.19,362.45,358.89,100705.0
2022-08-09,362.19,361.43,365.75,361.43,147879.0
2022-08-10,376.17,380.49,380.49,372.87,457568.0
2022-08-11,394.47,385.07,394.47,383.54,1314949.0
2022-08-12,385.07,378.46,385.32,376.43,618044.0
2022-08-15,376.68,375.41,379.48,375.41,341180.0
2022-08-16,375.41,375.92,379.98,375.16,325006.0
2022-08-17,375.16,376.68,377.19,372.87,299034.0
2022-08-18,375.92,371.85,376.68,371.6,256454.0
2022-08-19,372.11,368.04,372.61,368.04,220742.0
2022-08-22,367.53,368.8,371.09,366.52,198353.0
2022-08-23,368.29,366.77,368.8,365.75,177242.0
2022-08-24,366.26,361.69,367.28,361.43,207300.0
2022-08-25,361.94,363.21,363.97,358.89,150259.0
2022-08-26,363.47,368.04,369.82,362.19,251553.0
2022-08-29,363.72,367.79,368.04,363.47,122173.0
2022-08-30,366.26,368.29,369.06,364.99,133499.0
2022-08-31,366.52,365.5,367.53,363.97,131962.0
2022-09-01,364.74,362.45,366.01,362.45,114498.0
2022-09-02,362.45,361.94,363.97,361.18,127542.0
2022-09-05,361.18,363.72,363.97,359.91,102506.0
2022-09-06,363.72,365.75,368.55,363.72,134379.0
2022-09-07,365.24,365.75,367.02,363.97,111260.0
2022-09-08,366.52,369.31,372.87,365.5,267338.0
2022-09-09,367.53,367.28,369.31,364.74,154247.0
2022-09-13,367.02,370.33,371.6,366.52,198989.0
2022-09-14,367.53,371.09,373.63,366.52,219468.0
2022-09-15,370.07,367.53,373.63,367.28,210095.0
2022-09-16,366.77,359.91,367.28,359.91,183228.0
2022-09-19,360.16,361.18,363.21,359.65,117857.0
2022-09-20,361.94,362.45,365.24,361.94,114999.0
2022-09-21,361.43,363.72,365.75,356.35,149675.0
2022-09-22,362.19,360.16,362.96,360.16,128826.0
2022-09-23,359.65,356.6,361.18,355.33,110416.0
2022-09-26,356.6,351.77,356.6,351.52,106653.0
2022-09-27,353.3,356.1,356.35,351.77,88028.0
2022-09-28,355.08,350.0,355.59,349.74,110310.0
2022-09-29,351.27,349.49,352.28,348.98,77613.0
2022-09-30,349.49,348.72,351.01,348.47,76729.0
2022-10-10,348.72,347.2,351.52,347.2,81131.0
2022-10-11,346.18,348.22,348.47,345.93,69287.0
2022-10-12,348.22,351.77,352.03,345.93,91746.0
2022-10-13,350.25,350.76,352.28,349.23,75981.0
2022-10-14,352.03,353.55,355.08,351.52,110542.0
2022-10-17,353.05,353.81,354.82,351.27,109385.0
2022-10-18,354.32,354.32,358.13,352.28,143785.0
2022-10-19,352.28,352.03,355.33,351.52,85155.0
2022-10-20,351.52,350.0,352.79,348.72,95122.0
2022-10-21,350.25,350.0,351.52,349.23,61048.0
2022-10-24,350.0,347.96,353.3,346.69,109506.0
2022-10-25,347.2,351.27,353.05,345.68,125965.0
2022-10-26,351.52,353.05,353.55,350.25,113760.0
2022-10-27,356.1,356.1,358.38,354.32,213279.0
2022-10-28,354.82,351.01,356.86,350.0,139239.0
2022-10-31,350.5,350.76,353.55,348.72,96451.0
2022-11-01,350.76,354.06,354.06,349.74,152774.0
2022-11-02,353.3,358.64,359.4,352.54,273025.0
2022-11-03,357.11,357.62,362.45,356.1,234681.0
2022-11-04,357.37,360.16,361.18,357.11,275964.0
2022-11-07,359.65,360.16,361.18,358.64,175100.0
2022-11-08,360.42,357.87,360.67,357.11,144499.0
2022-11-09,357.62,356.86,358.38,356.1,128879.0
2022-11-10,355.08,355.33,356.6,354.06,142779.0
2022-11-11,358.38,357.11,359.4,356.35,196820.0
2022-11-14,357.37,356.6,359.4,356.35,127779.0
2022-11-15,356.86,359.65,359.65,356.1,165354.0
2022-11-16,359.91,364.99,367.53,359.91,390101.0
2022-11-17,363.97,368.04,370.07,363.72,315020.0
2022-11-18,368.8,367.02,370.84,366.01,263292.0
2022-11-21,370.84,366.52,371.6,363.21,265371.0
2022-11-22,368.04,364.99,368.29,364.23,183679.0
2022-11-23,364.23,362.7,365.75,361.43,153630.0
2022-11-24,362.96,362.45,364.48,361.43,106601.0
2022-11-25,362.45,361.69,363.21,361.18,93923.0
2022-11-28,359.91,360.42,360.67,357.62,118050.0
2022-11-29,361.18,364.48,364.74,360.42,135994.0
2022-11-30,364.99,372.87,376.43,363.97,595438.0
2022-12-01,375.16,367.79,375.66,367.53,412491.0
2022-12-02,368.29,365.5,368.29,364.99,155234.0
2022-12-05,367.79,371.34,373.12,367.02,355883.0
2022-12-06,371.34,373.12,374.39,369.82,267583.0
2022-12-07,372.61,371.6,374.65,370.58,228651.0
2022-12-08,372.11,370.33,372.61,369.56,189961.0
2022-12-09,371.09,370.33,371.6,369.06,180794.0
2022-12-12,370.33,368.55,370.33,367.53,129482.0
2022-12-13,369.06,368.8,372.11,368.04,151118.0
2022-12-14,367.79,368.8,369.82,367.79,120688.0
2022-12-15,368.8,371.09,372.87,366.52,282488.0
2022-12-16,369.31,368.04,370.33,367.02,144754.0
2022-12-19,368.04,366.26,371.6,364.99,162527.0
2022-12-20,364.48,364.99,367.28,362.7,171321.0
2022-12-21,366.26,368.8,371.6,366.26,305160.0
2022-12-22,368.29,364.74,370.58,364.23,244015.0
2022-12-23,363.72,357.87,363.72,356.86,216931.0
2022-12-26,358.13,367.79,368.04,358.13,292222.0
2022-12-27,367.79,364.99,368.04,364.23,145163.0
2022-12-28,363.97,360.67,364.48,359.65,143117.0
2022-12-29,359.91,361.18,363.72,359.14,109126.0
2022-12-30,362.45,361.43,367.02,361.18,135369.0
2023-01-03,361.43,362.45,362.7,360.42,111823.0
2023-01-04,361.18,362.96,363.47,361.18,115896.0
2023-01-05,362.96,362.96,364.99,362.7,124126.0
2023-01-06,362.96,370.58,382.27,362.7,721851.0
2023-01-09,370.84,373.89,377.7,370.07,476469.0
2023-01-10,373.89,374.14,375.66,371.6,249042.0
2023-01-11,373.38,370.33,374.14,370.33,160529.0
2023-01-12,370.07,368.8,371.85,368.29,158027.0
2023-01-13,368.55,369.56,370.33,367.28,109825.0
2023-01-16,369.06,371.09,372.11,368.55,151523.0
2023-01-17,371.09,372.61,373.89,370.33,134161.0
2023-01-18,373.12,371.85,373.63,371.85,93611.0
2023-01-19,371.85,373.12,373.38,370.58,114965.0
2023-01-20,373.38,374.9,375.41,373.12,136384.0
2023-01-30,378.46,382.53,384.05,378.21,540917.0
2023-01-31,382.27,381.51,385.07,381.0,228264.0
2023-02-01,382.27,382.78,383.54,380.75,184955.0
2023-02-02,382.78,385.58,386.34,381.76,227520.0
2023-02-03,385.58,382.78,386.34,381.0,183478.0
2023-02-06,388.88,382.53,392.69,381.76,283034.0
2023-02-07,388.88,387.86,391.17,384.81,401060.0
2023-02-08,386.59,382.02,387.61,382.02,241361.0
2023-02-09,382.78,383.54,384.81,381.26,153527.0
2023-02-10,382.78,381.76,383.29,381.0,166510.0
2023-02-13,381.26,384.81,388.37,381.0,247139.0
2023-02-14,385.07,384.31,386.34,383.54,120499.0
